tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,49.8,68.5,1623,0
1,56.4,53.8,1274,1623
2,62.3,42.7,1012,2897
3,68.6,33.2,788,3909
4,72.6,27.7,656,4697
5,75.7,23.8,565,5353
6,78.5,19.9,471,5918
7,80.5,18.4,435,6389
8,82.9,14.9,354,6824
9,84.9,13.2,312,7178
10,86.5,11.6,276,7490
11,87.6,10.9,258,7766
12,88.7,9.6,228,8024
13,89.1,9.2,217,8252
14,89.7,8.3,197,8469
15,90.1,8.3,197,8666
16,90.6,7.6,180,8863
17,91.1,7.0,165,9043
18,91.5,7.1,168,9208
19,92.0,6.5,153,9376
20,92.2,6.8,160,9529
21,92.3,6.5,155,9689
22,92.4,6.3,149,9844
23,92.6,6.0,142,9993
24,92.9,5.9,140,10135
25,92.9,5.5,131,10275
26,93.0,5.5,131,10406
27,93.5,5.0,119,10537
28,93.6,5.1,121,10656
29,94.0,4.3,103,10777
30,94.0,4.7,111,10880
31,94.3,4.6,108,10991
32,94.3,4.6,108,11099
33,94.4,4.6,108,11207
34,94.4,4.9,115,11315
35,94.4,4.7,111,11430
36,94.4,4.5,107,11541
37,94.6,4.4,104,11648
38,95.1,3.8,89,11752
39,95.1,3.7,88,11841
40,95.1,3.7,88,11929
41,95.4,3.6,85,12017
42,95.2,3.6,86,12102
43,95.0,3.9,92,12188
44,95.2,3.6,85,12280
45,95.2,3.3,79,12365
46,95.5,3.4,81,12444
47,95.4,3.4,81,12525
48,95.5,3.6,85,12606
49,95.4,3.6,86,12691
50,95.5,3.7,87,12777
51,95.5,3.6,85,12864
52,95.6,3.4,80,12949
53,95.7,3.2,76,13029
54,95.7,3.2,75,13105
55,95.7,3.3,79,13180
56,95.8,2.9,69,13259
57,95.9,2.7,65,13328
58,96.0,3.0,70,13393
59,95.8,3.2,75,13463
60,96.0,3.0,70,13538
61,95.9,2.8,66,13608
62,96.0,3.0,71,13674
63,96.0,2.8,66,13745
64,96.1,2.7,65,13811
65,96.2,2.7,63,13876
66,96.1,2.7,64,13939
67,96.4,2.4,56,14003
68,96.3,2.5,60,14059
69,96.3,2.8,66,14119
70,96.4,2.4,58,14185
71,96.5,2.6,61,14243
72,96.3,2.4,57,14304
73,96.5,2.5,59,14361
74,96.5,2.3,54,14420
75,96.7,2.3,54,14474
76,96.6,2.4,56,14528
77,96.7,2.1,49,14584
78,96.7,2.2,51,14633
79,96.7,2.2,53,14684
80,96.6,2.2,53,14737
81,96.8,2.2,51,14790
82,96.9,2.2,52,14841
83,96.7,2.4,57,14893
84,96.8,2.0,47,14950
85,96.9,2.0,48,14997
86,96.8,2.2,51,15045
87,96.9,2.0,47,15096
88,97.0,1.8,43,15143
89,97.0,2.0,47,15186
90,96.9,2.0,47,15233
91,96.9,1.9,46,15280
92,96.8,2.2,51,15326
93,97.0,2.2,52,15377
94,96.9,2.0,48,15429
95,97.0,1.9,46,15477
96,96.9,1.9,46,15523
97,97.0,2.0,48,15569
98,97.0,2.1,49,15617
99,96.9,2.0,47,15666
100,97.1,1.8,43,15713
