tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,50.0,33.2,787,0
1,61.6,17.3,410,787
2,68.3,10.9,258,1197
3,72.6,6.8,162,1455
4,76.0,4.3,101,1617
5,77.9,3.1,74,1718
6,78.8,2.5,59,1792
7,80.1,1.7,41,1851
8,81.0,1.4,32,1892
9,81.2,1.2,28,1924
10,81.8,0.7,17,1952
11,81.8,0.6,15,1969
12,82.0,0.5,13,1984
13,82.1,0.5,13,1997
14,82.3,0.5,11,2010
15,82.4,0.5,11,2021
16,82.7,0.3,8,2032
17,82.8,0.2,5,2040
18,83.0,0.1,3,2045
19,83.0,0.1,2,2048
20,83.0,0.1,2,2050
21,83.1,0.1,3,2052
22,83.1,0.2,5,2055
23,83.0,0.2,5,2060
24,83.2,0.1,2,2065
25,83.2,0.1,2,2067
26,83.3,0.0,0,2069
