tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,49.7,67.6,1600,0
1,56.5,52.2,1235,1600
2,62.6,41.7,987,2835
3,67.3,33.2,787,3822
4,73.1,26.3,623,4609
5,76.9,21.6,511,5232
6,79.5,19.1,452,5743
7,81.5,16.8,399,6195
8,83.3,15.8,375,6594
9,85.2,13.6,321,6969
10,86.3,12.0,285,7290
11,86.7,11.7,277,7575
12,87.8,10.3,244,7852
13,88.6,9.6,227,8096
14,89.1,9.2,217,8323
15,89.5,8.7,206,8540
16,89.9,8.0,190,8746
17,89.9,8.0,190,8936
18,90.7,7.8,185,9126
19,90.9,7.4,175,9311
20,91.0,7.1,167,9486
21,91.8,6.7,158,9653
22,91.5,6.6,157,9811
23,91.8,6.7,158,9968
24,92.1,6.3,150,10126
25,92.2,6.2,146,10276
26,92.2,6.2,146,10422
27,92.4,6.4,152,10568
28,92.4,6.3,148,10720
29,92.7,5.8,138,10868
30,92.8,5.9,139,11006
31,93.1,5.2,124,11145
32,93.0,5.7,135,11269
33,93.3,5.5,131,11404
34,93.4,5.3,126,11535
35,93.3,5.1,121,11661
36,93.3,5.3,125,11782
37,93.8,4.9,116,11907
38,93.7,4.6,110,12023
39,93.8,4.7,111,12133
40,94.1,4.4,104,12244
41,94.1,4.2,100,12348
42,94.0,4.5,106,12448
43,94.3,4.5,107,12554
44,94.4,4.0,94,12661
45,94.4,4.2,100,12755
46,94.5,4.0,94,12855
47,94.6,3.7,88,12949
48,94.7,3.8,90,13037
49,94.8,3.9,93,13127
50,94.8,3.8,89,13220
51,95.1,3.5,84,13309
52,94.8,3.7,88,13393
53,95.1,3.7,88,13481
54,95.0,3.7,88,13569
55,95.1,3.6,86,13657
56,95.3,3.6,86,13743
57,95.0,3.5,84,13829
58,95.4,3.3,79,13913
59,95.4,3.2,76,13992
60,95.4,3.0,72,14068
61,95.4,3.3,77,14140
62,95.5,2.9,69,14217
63,95.7,3.1,74,14286
64,95.7,3.2,75,14360
65,95.5,3.1,74,14435
66,95.5,3.1,74,14509
67,95.7,3.2,75,14583
68,95.8,2.7,65,14658
69,95.9,2.7,65,14723
70,95.8,3.0,71,14788
71,95.8,2.7,65,14859
72,96.0,3.0,70,14924
73,95.8,2.9,69,14994
74,95.8,2.7,63,15063
75,95.8,2.8,66,15126
76,95.9,2.8,66,15192
77,95.9,2.7,63,15258
78,95.9,2.8,66,15321
79,95.8,2.9,69,15387
80,95.9,2.5,60,15456
81,95.9,2.7,65,15516
82,95.9,3.0,70,15581
83,96.0,2.6,61,15651
84,96.1,2.5,60,15712
85,96.2,2.9,68,15772
86,95.9,2.8,67,15840
87,96.1,2.7,64,15907
88,96.0,2.7,63,15971
89,96.1,2.4,57,16034
90,96.3,2.4,58,16091
91,96.3,2.4,58,16149
92,96.3,2.5,60,16207
93,96.1,2.5,60,16267
94,96.3,2.4,57,16327
95,96.4,2.3,55,16384
96,96.4,2.2,53,16439
97,96.4,2.1,49,16492
98,96.4,2.0,48,16541
99,96.6,2.2,51,16589
100,96.6,2.3,54,16640
