tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,49.5,69.1,1657,0
1,56.9,52.8,1267,1657
2,63.0,40.5,971,2924
3,68.2,31.8,764,3895
4,73.9,24.3,583,4659
5,76.5,21.4,514,5242
6,79.4,18.6,446,5756
7,81.1,16.0,385,6202
8,82.8,15.0,361,6587
9,84.1,13.5,324,6948
10,85.1,13.0,311,7272
11,85.5,12.2,292,7583
12,86.5,11.4,273,7875
13,87.3,10.4,250,8148
14,88.4,9.4,225,8398
15,88.7,9.2,220,8623
16,89.3,8.9,213,8843
17,89.7,8.7,209,9056
18,90.0,8.3,199,9265
19,90.2,7.8,187,9464
20,90.2,8.0,193,9651
21,90.6,7.7,185,9844
22,90.8,7.1,171,10029
23,91.2,7.1,171,10200
24,91.1,7.3,175,10371
25,91.2,7.1,171,10546
26,91.3,6.8,162,10717
27,91.4,6.6,159,10879
28,91.5,7.0,167,11038
29,91.8,6.8,162,11205
30,91.8,6.8,162,11367
31,91.8,6.4,154,11529
32,91.9,6.5,157,11683
33,92.1,6.2,149,11840
34,92.3,5.9,142,11989
35,92.4,6.3,152,12131
36,92.7,5.8,138,12283
37,92.9,5.3,127,12421
38,93.0,5.5,132,12548
39,93.0,5.7,136,12680
40,93.2,4.9,118,12816
41,93.3,5.0,121,12934
42,93.3,5.3,127,13055
43,93.3,5.0,119,13182
44,93.4,5.0,120,13301
45,93.5,5.0,120,13421
46,93.5,5.0,121,13541
47,93.5,5.3,127,13662
48,93.5,5.0,121,13789
49,93.6,5.1,122,13910
50,93.6,5.1,123,14032
51,93.7,5.1,122,14155
52,93.8,4.6,111,14277
53,94.0,4.5,107,14388
54,94.0,4.5,107,14495
55,94.1,4.5,107,14602
56,94.2,4.2,100,14709
57,94.3,4.5,107,14809
58,94.2,4.3,104,14916
59,94.3,4.3,104,15020
60,94.6,4.0,95,15124
61,94.6,4.0,95,15219
62,94.5,4.2,101,15314
63,94.5,4.3,103,15415
64,94.5,4.3,102,15518
65,94.7,3.7,89,15620
66,94.9,4.0,95,15709
67,95.0,3.4,82,15804
68,95.1,3.3,79,15886
69,95.2,3.5,84,15965
70,95.0,3.8,90,16049
71,95.0,3.6,87,16139
72,95.3,3.3,79,16226
73,95.3,3.5,83,16305
74,95.2,3.5,85,16388
75,95.2,3.6,86,16473
76,95.1,3.6,86,16559
77,95.4,3.2,77,16645
78,95.2,3.4,81,16722
79,95.2,3.6,87,16803
80,95.1,3.8,90,16890
81,95.2,3.5,84,16980
82,95.4,3.8,90,17064
83,95.4,3.5,85,17154
84,95.2,3.4,81,17239
85,95.4,3.5,84,17320
86,95.4,3.5,85,17404
87,95.3,3.5,85,17489
88,95.4,3.5,83,17574
89,95.4,3.4,81,17657
90,95.4,3.3,78,17738
91,95.5,3.1,75,17816
92,95.7,2.8,68,17891
93,95.8,3.0,72,17959
94,95.7,3.0,73,18031
95,95.9,2.8,66,18104
96,96.0,2.7,65,18170
97,95.9,2.5,60,18235
98,96.0,2.8,66,18295
99,95.9,2.6,62,18361
