tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,50.2,81.8,1928,0
1,53.6,75.6,1783,1928
2,55.5,69.3,1633,3711
3,56.7,66.9,1577,5344
4,58.9,63.2,1490,6921
5,59.4,60.9,1435,8411
6,61.6,56.9,1342,9846
7,64.6,50.6,1192,11188
8,66.5,47.9,1128,12380
9,67.8,45.2,1066,13508
10,69.0,43.2,1018,14574
11,70.3,41.2,972,15592
12,72.6,38.1,898,16564
13,74.1,35.0,824,17462
14,75.2,33.5,789,18286
15,76.3,31.7,748,19075
16,76.8,30.5,719,19823
17,77.8,28.7,676,20542
18,79.6,26.3,619,21218
19,81.2,22.9,540,21837
20,82.5,21.7,512,22377
21,83.1,20.3,478,22889
22,83.8,19.3,455,23367
23,85.0,18.6,438,23822
24,85.6,17.4,410,24260
25,86.2,16.8,396,24670
26,86.7,16.6,391,25066
27,86.8,15.8,372,25457
28,87.2,16.0,377,25829
29,87.6,15.3,360,26206
30,87.8,14.3,336,26566
31,88.0,14.3,338,26902
32,88.6,13.6,321,27240
33,88.5,13.7,322,27561
34,89.0,12.9,303,27883
35,89.3,12.6,296,28186
36,89.9,12.1,285,28482
37,90.5,12.1,285,28767
38,90.2,11.5,272,29052
39,90.2,11.5,272,29324
40,90.4,10.8,255,29596
41,90.6,11.3,267,29851
42,90.2,11.7,275,30118
43,90.4,11.0,259,30393
44,90.7,11.1,261,30652
45,90.8,11.3,267,30913
46,90.5,11.1,262,31180
47,90.6,11.4,269,31442
48,90.1,11.6,274,31711
49,90.8,10.9,258,31985
50,90.7,10.6,250,32243
51,91.6,9.8,231,32493
52,91.7,9.8,231,32724
53,91.1,10.4,244,32955
54,91.3,10.1,239,33199
55,91.3,10.4,246,33438
56,91.1,10.3,243,33684
57,91.2,10.1,238,33927
58,91.4,10.5,248,34165
59,90.9,10.5,247,34413
60,91.3,10.6,249,34660
61,91.6,10.0,235,34909
62,91.8,9.5,223,35144
63,91.9,9.5,223,35367
64,91.5,9.7,229,35590
65,91.7,9.5,223,35819
66,91.9,9.2,217,36042
67,91.8,9.4,222,36259
68,91.8,9.8,230,36481
69,92.1,9.3,220,36711
70,92.0,9.0,213,36931
71,92.3,9.0,212,37144
72,91.8,9.6,227,37356
73,92.0,9.7,229,37583
74,91.7,9.5,223,37812
75,92.4,8.7,204,38035
76,92.1,9.1,215,38239
77,92.3,8.9,210,38454
78,92.2,8.9,210,38664
79,92.3,8.8,208,38874
80,92.8,8.5,201,39082
81,92.9,7.8,184,39283
82,92.8,8.0,189,39467
83,92.9,8.3,196,39656
84,92.3,8.8,207,39852
85,92.9,8.4,197,40059
86,92.3,8.4,197,40256
87,93.2,8.0,189,40453
88,92.9,8.1,190,40642
89,93.0,7.8,185,40832
90,92.8,8.4,198,41017
91,93.0,8.3,195,41215
92,92.7,8.4,197,41410
93,92.8,8.4,197,41607
94,92.9,7.8,184,41804
95,93.2,7.6,180,41988
96,93.4,7.6,180,42168
97,92.9,7.9,186,42348
98,93.4,7.5,177,42534
99,93.7,7.7,181,42711
