tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,50.2,94.5,2253,0
1,51.7,93.6,2230,2253
2,51.0,94.0,2241,4483
3,50.4,94.6,2255,6724
4,50.8,94.3,2248,8979
5,50.5,94.5,2251,11227
6,51.2,93.4,2225,13478
7,50.7,94.2,2245,15703
8,50.0,95.3,2270,17948
9,49.8,95.3,2272,20218
10,51.2,93.7,2234,22490
11,50.6,95.0,2263,24724
12,50.6,94.8,2259,26987
13,50.7,94.0,2239,29246
14,52.4,93.1,2219,31485
15,50.5,94.2,2245,33704
16,50.9,94.2,2244,35949
17,50.1,95.3,2271,38193
18,50.8,94.3,2247,40464
19,50.6,93.7,2234,42711
20,51.6,93.8,2235,44945
21,50.9,95.2,2268,47180
22,50.1,95.6,2279,49448
23,50.5,94.4,2249,51727
24,51.2,93.7,2234,53976
25,51.2,94.0,2241,56210
26,50.7,94.5,2252,58451
27,50.2,94.4,2250,60703
28,50.0,95.3,2272,62953
29,50.8,93.8,2236,65225
30,50.0,95.1,2267,67461
31,51.2,94.0,2241,69728
32,50.3,94.8,2258,71969
33,51.0,93.7,2234,74227
34,50.3,95.3,2272,76461
35,50.7,94.4,2250,78733
36,51.1,93.7,2232,80983
37,50.8,93.7,2232,83215
38,50.5,94.1,2242,85447
39,51.9,93.0,2216,87689
40,51.2,93.5,2227,89905
41,50.9,94.6,2255,92132
42,51.5,93.5,2228,94387
43,50.2,95.6,2278,96615
44,50.1,95.7,2280,98893
45,50.3,95.0,2264,101173
46,49.6,96.0,2287,103437
47,50.7,94.6,2254,105724
48,50.9,94.1,2242,107978
49,50.3,95.6,2278,110220
50,51.2,94.5,2251,112498
51,49.7,95.8,2283,114749
52,51.2,94.5,2253,117032
53,50.2,95.4,2273,119285
54,50.7,94.3,2248,121558
55,50.7,94.3,2248,123806
56,51.1,93.3,2224,126054
57,51.2,93.2,2222,128278
58,50.4,94.9,2262,130500
59,50.7,94.3,2248,132762
60,50.6,94.2,2245,135010
61,49.7,95.6,2278,137255
62,50.5,93.9,2238,139533
63,50.3,94.5,2253,141771
64,50.7,95.6,2279,144024
65,50.4,95.0,2265,146303
66,50.6,94.9,2261,148568
67,50.5,94.5,2251,150829
68,52.1,93.2,2221,153080
69,50.6,94.1,2243,155301
70,50.3,94.5,2251,157544
71,50.9,93.8,2235,159795
72,49.8,94.8,2258,162030
73,51.1,94.3,2246,164288
74,50.8,94.0,2239,166534
75,49.9,95.5,2276,168773
76,50.7,94.5,2251,171049
77,50.1,93.5,2229,173300
78,50.8,94.1,2243,175529
79,51.0,93.8,2236,177772
80,50.9,94.5,2253,180008
81,51.4,93.9,2238,182261
82,50.9,93.0,2216,184499
83,51.8,92.9,2214,186715
84,50.6,94.5,2253,188929
85,50.8,94.9,2262,191182
86,50.5,95.0,2265,193444
87,50.8,94.4,2249,195709
88,50.9,94.3,2248,197958
89,50.1,94.7,2257,200206
90,50.2,94.5,2251,202463
91,51.3,93.2,2222,204714
92,51.1,93.6,2231,206936
93,50.2,94.4,2249,209167
94,50.2,94.9,2262,211416
95,50.0,95.4,2273,213678
96,49.2,96.0,2288,215951
97,50.5,95.1,2266,218239
98,50.3,95.6,2279,220505
99,51.0,93.5,2228,222784
