tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,49.6,32.8,787,0
1,61.3,18.0,431,787
2,68.8,11.2,268,1218
3,73.6,7.1,171,1486
4,77.1,5.1,122,1657
5,79.6,3.7,89,1779
6,81.2,2.7,64,1868
7,82.1,2.3,54,1932
8,82.7,2.1,51,1986
9,83.3,1.5,37,2037
10,84.0,1.3,30,2074
11,84.4,1.0,24,2104
12,84.7,0.9,21,2128
13,84.9,0.6,15,2149
14,85.1,0.7,17,2164
15,85.5,0.5,12,2181
16,85.6,0.5,11,2193
17,85.7,0.4,9,2204
18,85.9,0.3,7,2213
19,85.9,0.3,6,2220
20,86.1,0.2,5,2226
21,86.1,0.1,3,2231
22,86.2,0.1,2,2234
23,86.2,0.1,2,2236
24,86.2,0.1,2,2238
25,86.2,0.0,0,2240
