tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,49.6,94.7,2271,0
1,51.6,93.1,2231,2271
2,50.6,94.9,2275,4502
3,50.8,94.8,2272,6777
4,50.3,95.9,2299,9049
5,50.6,93.7,2246,11348
6,50.9,94.1,2255,13594
7,50.6,95.5,2289,15849
8,50.5,94.2,2258,18138
9,50.0,95.7,2295,20396
10,51.8,92.9,2226,22691
11,51.4,93.2,2235,24917
12,52.3,91.5,2194,27152
13,51.4,93.7,2247,29346
14,51.0,93.6,2244,31593
15,50.9,94.2,2257,33837
16,50.7,94.6,2268,36094
17,50.8,95.4,2286,38362
18,50.3,95.2,2282,40648
19,50.3,94.6,2268,42930
20,49.9,95.0,2277,45198
21,51.2,93.7,2247,47475
22,51.5,93.5,2242,49722
23,50.8,94.0,2254,51964
24,51.5,92.4,2216,54218
25,51.8,92.9,2227,56434
26,50.4,94.9,2275,58661
27,51.3,94.0,2252,60936
28,50.9,95.4,2287,63188
29,50.6,94.6,2268,65475
30,50.5,95.3,2285,67743
31,50.7,94.7,2270,70028
32,50.3,94.7,2271,72298
33,50.7,94.3,2261,74569
34,51.0,94.0,2253,76830
35,50.7,94.6,2268,79083
36,51.0,94.2,2257,81351
37,50.7,94.3,2261,83608
38,50.4,95.0,2277,85869
39,51.7,94.0,2253,88146
40,51.0,94.6,2268,90399
41,50.2,95.3,2284,92667
42,50.0,95.7,2293,94951
43,49.2,96.7,2319,97244
44,49.8,96.0,2301,99563
45,50.1,94.7,2270,101864
46,50.8,94.5,2264,104134
47,50.9,94.2,2258,106398
48,50.5,94.7,2271,108656
49,50.3,94.5,2265,110927
50,50.1,95.3,2284,113192
51,50.2,94.9,2275,115476
52,51.1,94.9,2274,117751
53,49.7,95.6,2291,120025
54,49.4,96.0,2301,122316
55,51.1,94.0,2253,124617
56,50.3,94.4,2263,126870
57,51.3,94.6,2268,129133
58,51.2,95.0,2277,131401
59,50.9,94.0,2254,133678
60,49.9,95.8,2296,135932
61,50.6,95.3,2284,138228
62,50.3,95.2,2281,140512
63,50.5,94.0,2253,142793
64,51.4,93.7,2247,145046
65,50.7,93.7,2247,147293
66,51.8,92.9,2228,149540
67,51.6,93.2,2234,151768
68,51.3,93.5,2240,154002
69,51.7,93.4,2239,156242
70,50.6,95.0,2276,158481
71,51.2,93.3,2237,160757
72,50.5,93.6,2244,162994
73,50.8,94.2,2258,165238
74,51.3,94.3,2261,167496
75,50.6,94.9,2274,169757
76,51.8,93.8,2249,172031
77,51.1,94.2,2258,174280
78,50.2,94.6,2268,176538
79,51.2,94.0,2253,178806
80,50.6,94.5,2264,181059
81,51.2,94.2,2259,183323
82,51.0,94.4,2263,185582
83,49.9,95.4,2286,187845
84,50.6,94.0,2253,190131
85,50.5,95.0,2278,192384
86,50.7,94.3,2260,194662
87,50.2,95.2,2283,196922
88,51.0,94.0,2254,199205
89,50.6,94.9,2275,201459
90,50.6,94.7,2271,203734
91,50.0,95.0,2278,206005
92,49.9,95.7,2293,208283
93,51.4,93.5,2240,210576
94,50.9,94.8,2272,212816
95,50.9,94.2,2258,215088
96,49.6,95.7,2294,217346
97,49.6,95.9,2298,219640
98,50.2,96.1,2304,221938
99,51.6,93.0,2230,224242
