tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,49.7,61.1,1455,0
1,58.3,42.4,1011,1455
2,65.3,31.4,747,2466
3,72.1,23.0,547,3213
4,75.6,18.1,430,3760
5,79.5,14.6,348,4190
6,82.0,12.4,296,4538
7,83.5,10.7,254,4834
8,85.2,8.9,212,5088
9,86.5,7.3,173,5300
10,87.3,7.4,176,5473
11,88.1,6.2,148,5649
12,88.9,6.0,143,5797
13,89.3,5.5,132,5940
14,89.7,4.9,117,6072
15,90.5,4.2,100,6189
16,90.9,4.1,98,6289
17,91.1,3.8,91,6387
18,91.5,3.7,87,6478
19,91.8,3.4,80,6565
20,92.0,3.0,71,6645
21,92.2,2.9,69,6716
22,92.5,2.8,66,6785
23,92.8,2.4,56,6851
24,92.9,2.0,47,6907
25,93.1,1.7,40,6954
26,93.3,1.5,35,6994
27,93.4,1.5,35,7029
28,93.5,1.4,34,7064
29,93.8,1.2,29,7098
30,93.9,1.4,33,7127
31,94.0,1.6,37,7160
32,93.9,1.7,41,7197
33,94.0,1.8,42,7238
34,94.0,1.6,39,7280
35,94.0,1.7,41,7319
36,94.2,1.3,30,7360
37,94.2,1.3,30,7390
38,94.3,1.2,29,7420
39,94.4,1.4,33,7449
40,94.4,1.5,35,7482
41,94.5,1.2,29,7517
42,94.6,1.1,26,7546
43,94.7,0.9,21,7572
44,94.8,0.8,20,7593
45,94.9,0.8,18,7613
46,94.9,0.8,20,7631
47,94.9,0.8,18,7651
48,95.0,0.7,17,7669
49,95.2,0.7,16,7686
50,95.2,0.8,20,7702
51,95.2,0.5,13,7722
52,95.3,0.6,14,7735
53,95.3,0.5,13,7749
54,95.3,0.6,15,7762
55,95.3,0.5,13,7777
56,95.4,0.4,10,7790
57,95.4,0.4,9,7800
58,95.5,0.3,8,7809
59,95.5,0.4,10,7817
60,95.4,0.3,8,7827
61,95.5,0.3,8,7835
62,95.5,0.3,7,7843
63,95.5,0.3,6,7850
64,95.5,0.2,4,7856
65,95.5,0.1,3,7860
66,95.5,0.1,2,7863
67,95.5,0.1,2,7865
68,95.5,0.1,3,7867
69,95.5,0.1,2,7870
70,95.5,0.0,1,7872
71,95.6,0.0,0,7873
