tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,50.1,83.1,1968,0
1,52.5,77.2,1827,1968
2,55.2,70.8,1677,3795
3,58.3,65.7,1555,5472
4,59.5,62.3,1476,7027
5,60.2,60.9,1443,8503
6,62.0,57.4,1359,9946
7,64.2,52.2,1237,11305
8,65.6,48.7,1153,12542
9,67.6,46.6,1103,13695
10,69.0,44.2,1047,14798
11,70.2,41.6,986,15845
12,72.1,38.0,900,16831
13,73.8,35.9,850,17731
14,74.9,34.4,815,18581
15,75.7,33.0,781,19396
16,76.1,32.5,770,20177
17,76.7,32.5,770,20947
18,77.4,30.1,712,21717
19,79.2,27.2,643,22429
20,79.9,26.8,634,23072
21,80.8,25.5,605,23706
22,82.5,22.7,537,24311
23,83.4,21.2,501,24848
24,84.4,19.6,464,25349
25,85.0,19.0,450,25813
26,84.8,18.1,428,26263
27,86.1,17.6,416,26691
28,86.3,16.4,389,27107
29,87.1,16.6,394,27496
30,87.1,16.1,381,27890
31,87.6,15.1,357,28271
32,87.8,15.0,356,28628
33,88.1,14.2,337,28984
34,88.3,14.4,341,29321
35,88.4,14.4,340,29662
36,88.5,14.1,335,30002
37,89.1,13.3,315,30337
38,89.8,12.5,297,30652
39,89.5,12.3,292,30949
40,90.5,11.3,267,31241
41,90.7,10.9,258,31508
42,90.9,10.6,252,31766
43,90.6,10.4,246,32018
44,91.7,9.7,230,32264
45,91.8,9.3,220,32494
46,92.0,9.6,227,32714
47,92.3,8.8,209,32941
48,92.1,9.2,217,33150
49,92.1,8.9,210,33367
50,92.6,8.2,194,33577
51,92.8,8.3,197,33771
52,92.4,8.4,199,33968
53,92.6,7.9,186,34167
54,93.2,7.7,182,34353
55,93.4,8.0,189,34535
56,93.6,7.9,187,34724
57,93.4,7.3,172,34911
58,93.8,7.3,172,35083
59,93.4,8.1,192,35255
60,92.9,7.8,185,35447
61,93.5,7.8,185,35632
62,93.6,7.3,172,35817
63,93.6,7.6,179,35989
64,93.7,7.2,170,36168
65,93.4,7.8,184,36338
66,93.7,7.4,175,36522
67,93.8,7.1,169,36697
68,93.9,7.0,165,36866
69,93.5,7.2,170,37031
70,93.4,7.4,175,37201
71,93.4,7.4,175,37376
72,93.4,7.2,170,37551
73,93.9,6.8,160,37721
74,93.9,6.7,159,37881
75,93.6,7.2,171,38040
76,93.4,7.1,168,38211
77,93.8,7.4,176,38379
78,93.5,7.6,179,38555
79,93.7,7.4,175,38734
80,93.9,6.8,160,38909
81,93.9,6.6,156,39069
82,94.1,6.5,155,39225
83,94.3,6.4,152,39380
84,94.5,6.3,149,39532
85,94.2,6.6,156,39681
86,94.6,6.7,158,39837
87,94.4,6.4,152,39995
88,94.7,6.0,142,40147
89,94.6,6.0,141,40289
90,94.8,5.8,138,40430
91,94.7,5.9,140,40568
92,94.3,5.8,138,40708
93,94.9,5.9,140,40846
94,95.1,5.9,140,40986
95,94.8,5.5,130,41126
96,95.0,5.6,132,41256
97,94.7,6.3,150,41388
98,94.5,6.0,141,41538
99,94.7,6.3,150,41679
