tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,50.3,58.9,1408,0
1,58.3,41.6,995,1408
2,65.5,30.4,726,2403
3,71.4,22.6,540,3129
4,76.0,17.1,408,3669
5,79.6,13.2,316,4077
6,82.1,11.0,263,4393
7,83.3,10.2,243,4656
8,84.7,8.4,201,4899
9,86.1,7.0,168,5100
10,86.8,6.8,162,5268
11,87.3,5.8,138,5430
12,87.6,6.1,147,5568
13,88.0,5.7,137,5715
14,88.4,5.6,135,5852
15,88.7,5.9,140,5987
16,89.2,5.4,128,6127
17,89.5,4.5,107,6255
18,89.8,4.1,97,6362
19,90.0,4.3,102,6459
20,90.4,3.7,88,6561
21,90.4,3.6,87,6649
22,90.6,3.3,80,6736
23,91.1,2.9,69,6816
24,91.2,3.1,74,6885
25,91.2,3.1,74,6959
26,91.3,3.1,74,7033
27,91.4,3.3,79,7107
28,91.7,3.0,71,7186
29,91.9,2.6,61,7257
30,91.9,2.3,56,7318
31,92.0,2.3,56,7374
32,92.2,2.0,47,7430
33,92.2,1.8,44,7477
34,92.3,1.8,42,7521
35,92.5,1.5,36,7563
36,92.5,1.9,45,7599
37,92.5,2.1,50,7644
38,92.7,1.8,44,7694
39,92.7,2.3,54,7738
40,92.8,2.1,51,7792
41,92.9,2.0,49,7843
42,92.9,2.0,48,7892
43,93.1,1.8,44,7940
44,93.1,2.0,49,7984
45,93.3,1.5,35,8033
46,93.3,1.3,30,8068
47,93.3,1.6,39,8098
48,93.3,1.8,43,8137
49,93.4,1.8,43,8180
50,93.5,1.8,44,8223
51,93.5,2.0,49,8267
52,93.7,1.7,40,8316
53,93.7,1.5,35,8356
54,93.9,1.3,32,8391
55,93.9,1.4,34,8423
56,94.0,1.3,31,8457
57,94.0,1.2,28,8488
58,94.1,1.0,25,8516
59,94.1,0.9,22,8541
60,94.3,0.5,12,8563
61,94.3,0.6,15,8575
62,94.2,0.8,19,8590
63,94.2,0.6,15,8609
64,94.3,0.5,12,8624
65,94.3,0.5,11,8636
66,94.3,0.7,16,8647
67,94.2,0.8,20,8663
68,94.3,0.8,20,8683
69,94.3,1.0,25,8703
70,94.2,1.4,33,8728
71,94.2,1.0,25,8761
72,94.3,1.0,24,8786
73,94.3,1.2,28,8810
74,94.3,1.3,31,8838
75,94.4,1.0,24,8869
76,94.4,1.0,25,8893
77,94.4,0.9,22,8918
78,94.4,1.0,24,8940
79,94.5,1.1,26,8964
80,94.5,1.0,25,8990
81,94.6,1.0,25,9015
82,94.5,0.9,21,9040
83,94.6,0.8,20,9061
84,94.6,1.0,23,9081
85,94.6,0.8,20,9104
86,94.6,0.9,22,9124
87,94.7,0.7,17,9146
88,94.7,0.7,16,9163
89,94.7,0.8,19,9179
90,94.7,0.8,18,9198
91,94.7,0.8,20,9216
92,94.8,0.8,18,9236
93,94.8,0.9,21,9254
94,94.7,0.9,22,9275
95,94.9,1.0,23,9297
96,94.8,0.9,22,9320
97,94.9,1.0,23,9342
98,94.9,0.9,21,9365
99,94.9,0.8,18,9386
