tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,50.9,58.4,1391,0
1,58.9,41.4,987,1391
2,65.6,30.6,730,2378
3,71.2,22.5,536,3108
4,75.0,18.2,434,3644
5,78.1,14.9,355,4078
6,80.9,13.1,312,4433
7,82.1,11.0,261,4745
8,84.0,9.3,221,5006
9,85.3,8.7,208,5227
10,86.4,7.4,177,5435
11,87.2,7.2,172,5612
12,87.8,6.8,163,5784
13,88.3,6.0,144,5947
14,88.5,5.7,136,6091
15,89.2,5.2,125,6227
16,89.7,4.8,114,6352
17,90.0,4.4,105,6466
18,90.3,4.3,103,6571
19,90.6,3.9,94,6674
20,90.8,3.7,88,6768
21,90.9,3.6,86,6856
22,91.2,3.7,87,6942
23,91.3,3.1,73,7029
24,91.7,3.0,71,7102
25,91.8,2.9,70,7173
26,91.9,2.9,68,7243
27,91.9,2.6,62,7311
28,92.1,2.1,49,7373
29,92.2,2.3,54,7422
30,92.1,2.8,67,7476
31,92.2,2.4,58,7543
32,92.4,2.6,62,7601
33,92.5,2.5,60,7663
34,92.5,2.5,60,7723
35,92.5,2.3,56,7783
36,92.7,2.3,56,7839
37,92.8,1.9,45,7895
38,92.9,2.0,48,7940
39,92.8,2.1,50,7988
40,93.0,1.9,46,8038
41,93.2,1.5,35,8084
42,93.2,1.6,39,8119
43,93.3,1.4,34,8158
44,93.4,1.4,33,8192
45,93.4,1.3,32,8225
46,93.5,1.3,30,8257
47,93.5,1.2,28,8287
48,93.5,0.9,22,8315
49,93.6,0.9,22,8337
50,93.6,1.0,24,8359
51,93.7,1.0,25,8383
52,93.7,1.3,31,8408
53,93.6,1.1,27,8439
54,93.6,1.2,29,8466
55,93.7,1.0,24,8495
56,93.7,1.0,23,8519
57,93.8,1.1,26,8542
58,93.8,1.4,33,8568
59,93.9,0.9,21,8601
60,93.9,1.0,23,8622
61,94.0,1.0,25,8645
62,94.0,0.9,21,8670
63,94.0,0.8,20,8691
64,94.0,1.0,23,8711
65,94.1,0.8,18,8734
66,94.1,0.8,19,8752
67,94.1,0.7,17,8771
68,94.1,0.7,17,8788
69,94.1,0.6,14,8805
70,94.1,0.8,18,8819
71,94.2,0.6,15,8837
72,94.2,0.5,13,8852
73,94.2,0.5,13,8865
74,94.2,0.7,16,8878
75,94.2,0.8,20,8894
76,94.2,0.7,17,8914
77,94.3,0.7,16,8931
78,94.3,0.8,19,8947
79,94.3,0.6,15,8966
80,94.3,0.7,16,8981
81,94.3,0.4,10,8997
82,94.3,0.5,11,9007
83,94.4,0.3,7,9018
84,94.4,0.3,8,9025
85,94.4,0.4,9,9033
86,94.4,0.4,9,9042
87,94.5,0.2,5,9051
88,94.5,0.2,4,9056
89,94.5,0.1,3,9060
90,94.5,0.2,5,9063
91,94.5,0.3,6,9068
92,94.5,0.3,6,9074
93,94.5,0.2,5,9080
94,94.5,0.2,5,9085
95,94.5,0.1,3,9090
96,94.5,0.1,2,9093
97,94.5,0.1,2,9095
98,94.5,0.0,1,9097
99,94.5,0.1,2,9098
