tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,50.1,82.7,1966,0
1,53.6,74.2,1764,1966
2,56.5,67.2,1598,3730
3,58.1,64.6,1537,5328
4,60.2,60.1,1428,6865
5,61.5,56.6,1345,8293
6,62.9,54.8,1304,9638
7,64.1,54.0,1283,10942
8,65.6,50.5,1201,12225
9,67.2,47.9,1139,13426
10,68.6,44.2,1052,14565
11,70.3,40.8,970,15617
12,72.4,37.4,890,16587
13,73.4,35.8,852,17477
14,74.9,32.8,780,18329
15,76.0,32.3,769,19109
16,77.4,30.4,722,19878
17,78.7,28.7,682,20600
18,79.0,27.4,652,21282
19,80.4,24.9,591,21934
20,82.2,22.6,538,22525
21,83.8,20.5,487,23063
22,85.0,18.4,438,23550
23,85.6,17.6,419,23988
24,86.3,16.3,387,24407
25,86.9,15.8,376,24794
26,87.2,15.4,367,25170
27,88.4,14.3,340,25537
28,89.0,13.3,316,25877
29,89.5,13.0,310,26193
30,89.7,12.3,292,26503
31,89.7,12.4,294,26795
32,89.9,12.2,289,27089
33,90.5,11.9,283,27378
34,90.2,11.6,277,27661
35,90.2,11.6,277,27938
36,90.6,11.1,264,28215
37,90.6,10.6,251,28479
38,91.4,10.0,238,28730
39,91.7,9.8,233,28968
40,91.7,9.8,233,29201
41,92.0,9.9,236,29434
42,91.9,9.8,232,29670
43,92.0,9.3,220,29902
44,92.3,8.7,207,30122
45,92.6,8.4,200,30329
46,93.0,7.8,185,30529
47,93.1,7.9,189,30714
48,93.5,7.8,185,30903
49,93.2,7.9,189,31088
50,93.3,7.6,180,31277
51,93.7,7.0,166,31457
52,93.9,6.8,162,31623
53,94.3,6.8,161,31785
54,94.0,6.9,163,31946
55,93.7,7.1,168,32109
56,94.2,6.7,160,32277
57,93.9,7.2,171,32437
58,93.8,7.0,167,32608
59,93.7,6.8,161,32775
60,94.1,6.9,165,32936
61,93.9,6.6,156,33101
62,93.7,7.3,174,33257
63,93.6,7.3,174,33431
64,93.5,7.2,172,33605
65,93.7,7.5,178,33777
66,93.8,7.2,171,33955
67,94.1,6.9,164,34126
68,94.1,6.7,159,34290
69,93.8,7.4,176,34449
70,93.6,7.1,170,34625
71,94.2,6.6,156,34795
72,94.5,6.3,150,34951
73,94.3,6.2,147,35101
74,94.5,6.4,153,35248
75,94.3,6.3,149,35401
76,94.6,5.7,135,35550
77,94.9,5.9,140,35685
78,94.3,6.3,149,35825
79,94.5,6.6,158,35974
80,94.2,5.8,139,36132
81,95.1,5.5,130,36271
82,95.3,5.4,128,36401
83,95.1,5.6,134,36529
84,94.6,6.1,145,36663
85,94.8,5.7,136,36808
86,94.5,6.0,142,36944
87,94.8,5.7,136,37086
88,94.9,6.0,143,37222
89,94.6,6.2,147,37365
90,94.8,6.2,148,37512
91,94.5,6.2,147,37660
92,94.5,6.1,145,37807
93,94.6,6.1,144,37952
94,94.9,5.9,140,38096
95,95.2,5.5,130,38236
96,95.1,5.5,130,38366
97,95.3,5.3,126,38496
98,95.4,4.9,116,38622
99,95.5,5.2,124,38738
