tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,49.7,83.8,1996,0
1,54.5,71.5,1703,1996
2,57.1,67.7,1613,3699
3,59.5,61.5,1464,5312
4,60.8,58.8,1400,6776
5,62.8,54.3,1294,8176
6,64.9,51.0,1216,9470
7,66.6,48.2,1148,10686
8,68.4,45.0,1071,11834
9,69.6,42.7,1016,12905
10,70.6,40.5,965,13921
11,73.0,36.6,872,14886
12,74.4,33.8,805,15758
13,75.6,32.2,768,16563
14,76.2,30.4,723,17331
15,77.2,30.5,726,18054
16,78.2,28.1,669,18780
17,78.3,27.5,656,19449
18,79.3,26.4,629,20105
19,80.2,25.4,604,20734
20,80.6,25.1,599,21338
21,81.0,23.9,569,21937
22,82.7,22.3,532,22506
23,82.4,23.0,547,23038
24,82.5,22.5,537,23585
25,82.3,22.6,539,24122
26,82.6,21.9,522,24661
27,83.9,20.2,480,25183
28,83.5,20.4,486,25663
29,84.4,19.1,454,26149
30,85.2,18.8,449,26603
31,85.6,18.2,434,27052
32,86.1,16.4,390,27486
33,86.3,16.2,386,27876
34,87.3,15.7,374,28262
35,87.7,15.3,365,28636
36,87.3,15.1,360,29001
37,87.7,15.3,364,29361
38,87.9,14.3,340,29725
39,88.2,14.1,337,30065
40,87.9,14.2,339,30402
41,88.1,14.7,350,30741
42,88.2,14.2,339,31091
43,88.3,13.9,331,31430
44,88.8,13.1,311,31761
45,89.4,12.3,293,32072
46,89.8,12.6,301,32365
47,89.8,12.0,287,32666
48,90.1,12.3,292,32953
49,89.6,12.1,288,33245
50,90.2,11.5,275,33533
51,90.0,12.1,289,33808
52,89.8,11.7,279,34097
53,90.4,11.4,272,34376
54,90.4,10.7,256,34648
55,90.7,11.0,261,34904
56,91.0,10.5,250,35165
57,90.9,10.8,257,35415
58,91.3,10.4,248,35672
59,91.4,9.7,232,35920
60,91.7,10.0,239,36152
61,91.5,10.2,242,36391
62,91.4,9.9,236,36633
63,91.4,10.1,241,36869
64,91.6,10.4,247,37110
65,91.2,10.7,255,37357
66,91.1,10.4,248,37612
67,91.3,9.9,236,37860
68,91.5,9.4,225,38096
69,92.2,9.6,229,38321
70,91.8,9.7,232,38550
71,91.8,9.7,231,38782
72,92.1,9.5,226,39013
73,91.7,10.3,245,39239
74,91.4,9.9,236,39484
75,91.6,9.9,235,39720
76,91.2,10.2,244,39955
77,91.3,10.1,240,40199
78,91.5,9.9,235,40439
79,91.7,9.9,236,40674
80,92.2,9.2,219,40910
81,92.2,8.8,209,41129
82,92.1,9.0,214,41338
83,92.9,8.3,198,41552
84,92.7,8.6,205,41750
85,92.5,8.8,209,41955
86,92.6,8.5,202,42164
87,93.0,8.4,200,42366
88,93.0,7.9,189,42566
89,92.7,8.1,194,42755
90,92.7,8.0,190,42949
91,93.4,7.8,185,43139
92,94.0,7.3,173,43324
93,93.6,6.8,162,43497
94,94.0,6.8,161,43659
95,94.0,6.8,162,43820
96,93.9,7.0,166,43982
97,94.0,7.0,166,44148
98,93.7,7.1,168,44314
99,94.0,6.8,162,44482
