tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,49.9,68.4,1609,0
1,56.6,52.6,1238,1609
2,62.5,41.6,980,2847
3,68.1,33.5,788,3827
4,72.2,26.2,616,4615
5,75.9,24.1,568,5231
6,78.4,20.1,472,5799
7,80.8,17.2,406,6271
8,83.4,15.3,359,6677
9,84.5,13.8,325,7036
10,85.6,13.0,305,7361
11,86.6,12.1,285,7666
12,87.3,11.6,273,7951
13,88.1,10.4,245,8224
14,88.7,9.3,219,8469
15,89.6,8.5,201,8688
16,90.1,8.1,191,8889
17,90.2,8.0,189,9080
18,91.0,7.1,166,9269
19,90.8,7.5,177,9435
20,91.3,7.1,168,9612
21,91.4,7.2,169,9780
22,91.6,6.9,162,9949
23,92.0,6.7,157,10111
24,91.9,6.6,155,10268
25,92.4,6.4,150,10423
26,92.6,5.9,139,10573
27,92.8,5.9,140,10712
28,93.0,5.4,128,10852
29,92.8,5.7,134,10980
30,92.9,5.9,138,11114
31,93.0,5.8,137,11252
32,92.7,5.7,135,11389
33,93.0,5.8,136,11524
34,92.9,5.9,138,11660
35,93.2,5.5,129,11798
36,93.4,5.1,120,11927
37,93.8,5.0,118,12047
38,93.8,4.9,115,12165
39,93.7,4.4,103,12280
40,94.1,4.5,106,12383
41,94.3,4.5,105,12489
42,94.5,4.3,101,12594
43,94.5,4.4,103,12695
44,94.7,4.0,94,12798
45,94.8,3.9,92,12892
46,95.0,3.9,92,12984
47,95.0,3.5,83,13076
48,95.0,3.5,82,13159
49,95.1,3.7,87,13241
50,95.1,3.7,86,13328
51,95.2,3.4,80,13414
52,95.2,3.5,82,13494
53,95.2,3.3,77,13576
54,95.2,3.6,84,13653
55,95.4,3.2,76,13737
56,95.5,3.4,81,13813
57,95.4,3.3,78,13894
58,95.5,3.2,76,13972
59,95.6,3.2,76,14048
60,95.6,3.0,71,14124
61,95.8,3.0,71,14195
62,95.7,3.2,75,14266
63,95.9,2.7,64,14341
64,95.9,2.8,67,14405
65,96.0,2.6,62,14472
66,96.1,2.8,65,14534
67,96.1,2.5,60,14599
68,96.2,2.4,56,14659
69,96.1,2.5,60,14715
70,96.1,2.7,63,14775
71,96.1,2.5,60,14838
72,96.2,2.3,55,14898
73,96.2,2.6,61,14953
74,96.3,2.3,54,15014
75,96.4,2.2,51,15068
76,96.4,2.0,48,15119
77,96.5,2.2,51,15167
78,96.4,2.3,54,15218
79,96.5,2.0,47,15272
80,96.5,2.2,52,15319
81,96.6,2.1,50,15371
82,96.6,2.0,47,15421
83,96.7,2.3,53,15468
84,96.5,1.9,45,15521
85,96.6,2.0,46,15566
86,96.5,1.8,42,15612
87,96.6,2.1,50,15654
88,96.5,2.0,48,15704
89,96.5,2.0,47,15752
90,96.6,2.1,49,15799
91,96.7,2.0,48,15848
92,96.7,2.1,49,15896
93,96.6,2.1,49,15945
94,96.7,1.9,45,15994
95,96.7,1.9,45,16039
96,96.7,1.9,44,16084
97,96.7,2.0,46,16128
98,96.8,1.8,42,16174
99,96.8,1.7,40,16216
