tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,50.3,59.3,1416,0
1,57.9,43.4,1036,1416
2,66.4,30.1,719,2452
3,71.8,22.7,542,3171
4,76.0,17.6,421,3713
5,79.2,13.6,325,4134
6,81.5,11.7,280,4459
7,83.3,9.6,230,4739
8,84.7,8.8,209,4969
9,84.9,8.5,202,5178
10,86.2,7.5,180,5380
11,87.2,6.1,146,5560
12,87.8,6.1,146,5706
13,88.2,5.7,136,5852
14,88.7,5.3,126,5988
15,89.3,4.9,117,6114
16,89.7,4.8,114,6231
17,89.9,5.2,124,6345
18,90.2,4.7,112,6469
19,90.6,4.8,115,6581
20,90.7,4.4,104,6696
21,91.0,4.2,100,6800
22,91.3,3.8,90,6900
23,91.4,3.6,85,6990
24,91.7,3.1,74,7075
25,92.0,3.1,74,7149
26,92.0,3.2,77,7223
27,92.2,3.2,77,7300
28,92.6,2.7,64,7377
29,92.7,2.3,56,7441
30,92.9,2.3,55,7497
31,93.2,2.0,48,7552
32,93.1,2.1,51,7600
33,93.3,2.1,51,7651
34,93.3,1.6,39,7702
35,93.5,1.6,39,7741
36,93.7,1.9,45,7780
37,93.7,1.7,40,7825
38,93.8,1.8,42,7865
39,93.8,1.4,33,7907
40,94.0,1.6,37,7940
41,94.0,1.1,27,7977
42,94.1,1.4,34,8004
43,94.2,1.6,37,8038
44,94.3,1.3,32,8075
45,94.3,1.3,32,8107
46,94.4,1.3,32,8139
47,94.4,1.3,30,8171
48,94.4,1.2,28,8201
49,94.5,1.0,23,8229
50,94.6,0.9,21,8252
51,94.6,1.0,24,8273
52,94.6,1.0,23,8297
53,94.6,1.1,26,8320
54,94.7,1.0,24,8346
55,94.7,1.0,24,8370
56,94.7,0.9,22,8394
57,94.8,0.8,19,8416
58,94.8,0.8,20,8435
59,94.9,0.7,16,8455
60,94.9,0.8,19,8471
61,94.9,0.8,19,8490
62,94.9,1.0,24,8509
63,94.9,1.4,33,8533
64,94.9,1.1,27,8566
65,95.0,1.2,29,8593
66,95.0,1.2,29,8622
67,95.1,1.2,28,8651
68,95.2,1.1,26,8679
69,95.2,1.1,27,8705
70,95.2,1.2,28,8732
71,95.2,1.0,25,8760
72,95.2,1.0,25,8785
73,95.3,0.8,20,8810
74,95.4,0.7,16,8830
75,95.4,0.7,16,8846
76,95.4,0.5,12,8862
77,95.5,0.3,8,8874
78,95.5,0.4,10,8882
79,95.5,0.4,9,8892
80,95.5,0.3,8,8901
81,95.5,0.2,5,8909
82,95.5,0.2,5,8914
83,95.5,0.3,7,8919
84,95.5,0.4,9,8926
85,95.5,0.3,8,8935
86,95.5,0.3,7,8943
87,95.6,0.2,4,8950
88,95.6,0.0,1,8954
89,95.6,0.0,1,8955
90,95.6,0.0,1,8956
91,95.6,0.0,1,8957
92,95.6,0.0,1,8958
93,95.6,0.0,1,8959
94,95.6,0.0,0,8960
