tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,49.2,69.7,1651,0
1,56.1,53.3,1262,1651
2,63.0,40.3,954,2913
3,69.0,32.0,757,3867
4,74.1,24.8,587,4624
5,77.7,21.1,500,5211
6,80.7,17.7,420,5711
7,82.8,15.4,365,6131
8,84.2,14.0,332,6496
9,85.8,12.2,290,6828
10,86.9,11.7,276,7118
11,87.5,10.3,244,7394
12,88.4,9.1,216,7638
13,89.2,9.2,217,7854
14,89.5,9.0,213,8071
15,89.8,8.2,194,8284
16,90.6,8.1,191,8478
17,90.9,7.5,177,8669
18,91.1,7.1,168,8846
19,91.4,7.0,166,9014
20,91.3,7.2,170,9180
21,91.7,7.1,167,9350
22,91.6,7.1,169,9517
23,91.8,6.5,155,9686
24,92.2,6.5,155,9841
25,92.4,6.0,141,9996
26,92.5,6.2,146,10137
27,92.5,5.9,140,10283
28,92.6,6.0,143,10423
29,92.8,6.2,147,10566
30,92.8,5.9,140,10713
31,93.0,5.7,134,10853
32,93.1,5.4,129,10987
33,93.3,5.2,122,11116
34,93.5,5.2,123,11238
35,93.5,5.2,122,11361
36,93.5,5.3,125,11483
37,93.8,5.0,119,11608
38,94.0,5.0,119,11727
39,93.8,4.8,114,11846
40,94.2,4.4,105,11960
41,94.0,4.5,106,12065
42,94.2,4.6,108,12171
43,94.4,4.3,101,12279
44,94.3,4.3,103,12380
45,94.5,4.3,103,12483
46,94.8,4.3,102,12586
47,94.6,4.3,102,12688
48,94.6,4.0,94,12790
49,94.8,3.7,87,12884
50,94.8,3.6,85,12971
51,94.9,3.6,86,13056
52,94.7,3.9,93,13142
53,95.0,3.6,85,13235
54,95.1,3.3,78,13320
55,95.1,3.5,83,13398
56,95.2,3.8,91,13481
57,95.2,3.4,81,13572
58,95.2,3.6,86,13653
59,95.2,3.5,84,13739
60,95.3,3.5,84,13823
61,95.5,3.5,83,13907
62,95.3,3.5,83,13990
63,95.3,3.7,87,14073
64,95.3,3.5,83,14160
65,95.4,3.3,78,14243
66,95.5,3.3,78,14321
67,95.5,3.4,81,14399
68,95.5,3.3,78,14480
69,95.5,3.5,83,14558
70,95.5,3.6,86,14641
71,95.6,3.6,85,14727
72,95.7,3.3,77,14812
73,95.8,3.0,71,14889
74,95.8,3.1,73,14960
75,95.7,3.2,75,15033
76,95.7,2.9,69,15108
77,95.9,3.0,72,15177
78,95.9,2.8,67,15249
79,96.0,2.7,65,15316
80,96.1,2.7,63,15381
81,96.1,2.8,67,15444
82,96.1,2.7,63,15511
83,96.1,2.6,61,15574
84,96.1,2.6,62,15635
85,96.1,2.7,63,15697
86,96.1,2.7,64,15760
87,96.3,2.6,62,15824
88,96.2,2.4,58,15886
89,96.3,2.7,64,15944
90,96.2,2.6,62,16008
91,96.3,2.5,60,16070
92,96.3,2.8,66,16130
93,96.1,2.8,67,16196
94,96.2,3.0,70,16263
95,96.2,2.8,66,16333
96,96.1,2.8,67,16399
97,96.2,2.5,60,16466
98,96.3,2.7,64,16526
99,96.2,2.8,66,16590
