tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,50.4,30.3,718,0
1,61.5,17.5,414,718
2,68.3,10.9,259,1132
3,73.5,6.9,163,1391
4,76.4,4.8,114,1554
5,78.5,3.2,75,1668
6,80.0,2.1,50,1743
7,80.7,1.6,38,1793
8,81.3,1.2,28,1831
9,81.8,0.6,15,1859
10,82.1,0.3,8,1874
11,82.3,0.2,5,1882
12,82.4,0.3,6,1887
13,82.5,0.2,4,1893
14,82.6,0.1,3,1897
15,82.6,0.1,2,1900
16,82.6,0.0,1,1902
17,82.6,0.0,1,1903
18,82.6,0.0,1,1904
19,82.6,0.0,1,1905
20,82.7,0.0,1,1906
21,82.7,0.0,1,1907
22,82.7,0.0,0,1908
