tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,49.7,95.4,2271,0
1,51.2,93.3,2221,2271
2,51.6,92.7,2206,4492
3,50.6,94.5,2250,6698
4,51.2,93.6,2227,8948
5,51.9,93.3,2220,11175
6,50.9,93.9,2234,13395
7,50.6,94.0,2237,15629
8,50.4,94.8,2257,17866
9,50.8,95.0,2260,20123
10,49.8,95.6,2276,22383
11,50.3,95.0,2262,24659
12,49.7,95.0,2261,26921
13,49.9,95.1,2263,29182
14,51.1,93.5,2226,31445
15,51.3,93.3,2220,33671
16,50.4,94.5,2250,35891
17,51.1,94.7,2254,38141
18,50.7,93.9,2236,40395
19,50.8,93.8,2232,42631
20,52.2,92.7,2207,44863
21,51.6,92.3,2197,47070
22,51.2,93.9,2234,49267
23,50.4,94.9,2258,51501
24,50.8,94.5,2250,53759
25,51.2,93.9,2234,56009
26,50.8,94.8,2256,58243
27,51.5,93.0,2213,60499
28,50.5,95.7,2278,62712
29,50.9,94.7,2254,64990
30,50.2,95.2,2265,67244
31,50.8,94.5,2249,69509
32,50.8,94.1,2239,71758
33,50.6,94.5,2249,73997
34,50.9,94.0,2238,76246
35,50.9,93.7,2229,78484
36,50.3,94.5,2250,80713
37,50.1,95.0,2262,82963
38,50.7,94.5,2248,85225
39,50.7,94.5,2249,87473
40,50.7,94.4,2246,89722
41,51.0,94.6,2252,91968
42,51.0,93.8,2232,94220
43,50.2,95.4,2271,96452
44,51.4,93.4,2223,98723
45,51.4,94.2,2242,100946
46,50.4,94.8,2256,103188
47,51.3,93.1,2216,105444
48,51.5,93.4,2224,107660
49,51.3,94.3,2245,109884
50,50.3,94.8,2257,112129
51,50.9,94.1,2239,114386
52,50.8,93.6,2228,116625
53,50.9,94.1,2239,118853
54,51.1,94.4,2247,121092
55,50.8,93.5,2226,123339
56,50.4,94.8,2256,125565
57,51.1,93.2,2218,127821
58,50.5,94.3,2244,130039
59,50.7,93.8,2232,132283
60,51.0,94.3,2244,134515
61,50.8,94.4,2247,136759
62,50.3,94.5,2250,139006
63,50.7,94.2,2242,141256
64,50.7,94.2,2241,143498
65,51.7,92.6,2205,145739
66,51.0,93.7,2230,147944
67,51.9,91.8,2185,150174
68,51.1,93.9,2236,152359
69,50.9,94.5,2248,154595
70,50.9,94.4,2246,156843
71,50.0,96.1,2287,159089
72,49.7,96.1,2288,161376
73,49.8,95.5,2274,163664
74,50.8,94.8,2256,165938
75,51.3,93.8,2233,168194
76,49.9,95.2,2266,170427
77,50.7,94.7,2255,172693
78,50.5,95.2,2266,174948
79,51.0,94.4,2246,177214
80,49.9,95.0,2260,179460
81,50.6,94.9,2259,181720
82,51.0,93.8,2232,183979
83,51.9,92.4,2200,186211
84,52.1,91.8,2184,188411
85,51.5,93.2,2217,190595
86,51.4,93.4,2222,192812
87,50.3,94.2,2241,195034
88,51.7,93.4,2222,197275
89,50.9,93.6,2227,199497
90,51.8,92.7,2207,201724
91,51.2,93.6,2227,203931
92,50.2,94.5,2248,206158
93,49.7,94.7,2254,208406
94,51.0,94.3,2245,210660
95,50.5,94.5,2250,212905
96,51.0,94.6,2252,215155
97,51.0,95.0,2260,217407
98,50.5,94.5,2248,219667
99,50.5,95.0,2260,221915
