tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,50.3,83.1,1957,0
1,53.8,74.5,1755,1957
2,55.3,70.8,1668,3712
3,57.4,65.3,1538,5380
4,60.4,59.5,1402,6918
5,62.0,57.0,1342,8320
6,63.0,54.4,1282,9662
7,64.3,51.5,1214,10944
8,66.4,48.7,1147,12158
9,67.4,45.6,1074,13305
10,68.6,44.7,1053,14379
11,70.4,41.1,968,15432
12,71.8,38.5,908,16400
13,72.5,37.7,888,17308
14,74.1,35.1,826,18196
15,75.4,33.1,781,19022
16,76.0,31.1,732,19803
17,77.3,29.7,700,20535
18,78.9,27.5,649,21235
19,80.6,25.8,607,21884
20,81.3,24.7,583,22491
21,81.5,24.2,570,23074
22,82.7,21.6,509,23644
23,83.2,21.3,503,24153
24,84.0,19.8,467,24656
25,85.1,18.2,428,25123
26,85.6,17.8,419,25551
27,86.3,17.3,407,25970
28,86.3,16.4,386,26377
29,87.4,15.0,354,26763
30,87.4,15.6,368,27117
31,87.5,15.1,356,27485
32,88.3,14.0,329,27841
33,88.7,13.7,322,28170
34,88.2,13.5,317,28492
35,89.3,12.1,286,28809
36,89.6,12.0,283,29095
37,89.6,12.6,298,29378
38,90.4,10.4,245,29676
39,90.3,11.2,263,29921
40,90.6,11.1,262,30184
41,90.5,10.8,254,30446
42,91.3,10.5,247,30700
43,91.1,10.1,237,30947
44,91.6,9.7,228,31184
45,92.0,8.8,208,31412
46,92.1,9.2,217,31620
47,91.8,9.4,221,31837
48,92.1,9.0,213,32058
49,92.2,9.0,213,32271
50,92.4,8.9,210,32484
51,92.6,8.6,202,32694
52,93.0,8.5,201,32896
53,92.6,8.4,199,33097
54,92.7,8.6,202,33296
55,92.6,8.7,204,33498
56,92.7,7.9,186,33702
57,93.4,7.9,185,33888
58,93.1,8.2,193,34073
59,93.0,7.9,186,34266
60,93.1,8.2,194,34452
61,93.0,8.1,190,34646
62,93.4,7.8,183,34836
63,93.4,7.6,179,35019
64,93.4,7.6,179,35198
65,93.7,7.3,173,35377
66,93.9,6.6,156,35550
67,93.8,7.3,171,35706
68,93.5,7.0,165,35877
69,93.9,7.0,164,36042
70,93.9,6.7,157,36206
71,94.0,7.2,170,36363
72,93.6,7.1,167,36533
73,93.5,7.3,173,36700
74,94.1,7.1,167,36873
75,93.5,7.6,180,37040
76,93.5,7.9,186,37220
77,93.3,7.8,184,37406
78,93.3,7.7,181,37590
79,93.7,7.6,179,37771
80,93.7,7.3,171,37950
81,94.0,6.6,155,38121
82,94.3,6.5,154,38276
83,94.6,6.0,142,38430
84,94.6,6.2,145,38572
85,94.5,6.1,144,38717
86,94.4,6.0,142,38861
87,94.5,6.2,145,39003
88,94.8,6.2,146,39148
89,94.5,6.2,147,39294
90,94.4,6.1,143,39441
91,94.7,6.0,142,39584
92,94.7,5.7,135,39726
93,94.7,5.8,136,39861
94,95.3,5.4,127,39997
95,95.3,5.4,128,40124
96,95.3,5.3,124,40252
97,95.2,5.1,120,40376
98,95.4,5.7,135,40496
99,94.8,6.0,141,40631
