tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,50.2,59.4,1417,0
1,57.2,44.4,1060,1417
2,65.6,30.5,729,2477
3,70.7,24.0,573,3206
4,75.5,18.6,445,3779
5,79.3,13.7,327,4224
6,81.5,11.9,283,4551
7,83.8,9.7,231,4834
8,85.5,7.9,189,5065
9,87.1,6.4,152,5254
10,87.8,5.9,140,5406
11,88.6,5.5,131,5546
12,89.2,4.4,104,5677
13,89.6,4.2,101,5781
14,89.9,4.0,95,5882
15,90.2,3.5,84,5977
16,90.6,3.4,82,6061
17,91.0,3.5,84,6143
18,91.2,3.1,74,6227
19,91.4,2.9,69,6301
20,91.7,2.9,69,6370
21,91.6,2.8,68,6439
22,91.7,2.8,68,6507
23,92.1,2.8,67,6575
24,92.3,2.6,63,6642
25,92.5,2.3,54,6705
26,92.6,2.1,51,6759
27,92.8,1.7,40,6810
28,93.0,1.4,34,6850
29,93.1,1.3,32,6884
30,93.2,1.8,42,6916
31,93.2,1.7,41,6958
32,93.3,1.8,42,6999
33,93.5,1.7,41,7041
34,93.5,1.6,39,7082
35,93.6,1.7,40,7121
36,93.8,1.5,35,7161
37,93.7,1.6,39,7196
38,94.0,1.4,34,7235
39,94.0,1.2,28,7269
40,94.1,1.0,23,7297
41,94.1,1.2,29,7320
42,94.3,1.0,24,7349
43,94.4,1.1,27,7373
44,94.4,1.0,25,7400
45,94.5,1.1,27,7425
46,94.5,1.1,26,7452
47,94.5,1.0,24,7478
48,94.5,0.9,21,7502
49,94.7,0.6,15,7523
50,94.7,0.6,15,7538
51,94.6,0.9,22,7553
52,94.7,1.0,23,7575
53,94.7,0.8,19,7598
54,94.7,0.7,17,7617
55,94.7,0.7,17,7634
56,94.8,0.6,14,7651
57,94.8,0.5,13,7665
58,94.9,0.5,12,7678
59,94.9,0.4,10,7690
60,94.9,0.4,9,7700
61,95.0,0.4,9,7709
62,95.0,0.4,10,7718
63,94.9,0.6,14,7728
64,95.1,0.3,8,7742
65,95.1,0.3,7,7750
66,95.1,0.5,11,7757
67,95.1,0.7,16,7768
68,95.1,0.9,21,7784
69,95.0,1.0,24,7805
70,95.1,1.0,25,7829
71,95.1,1.0,24,7854
72,95.2,0.8,20,7878
73,95.1,0.9,22,7898
74,95.2,1.0,25,7920
75,95.1,0.9,21,7945
76,95.3,0.8,18,7966
77,95.3,0.6,14,7984
78,95.4,0.5,13,7998
79,95.4,0.6,14,8011
80,95.4,0.7,16,8025
81,95.4,0.7,17,8041
82,95.4,0.7,16,8058
83,95.5,0.5,11,8074
84,95.5,0.5,11,8085
85,95.5,0.3,7,8096
86,95.5,0.2,4,8103
87,95.5,0.1,3,8107
88,95.6,0.1,2,8110
89,95.6,0.1,3,8112
90,95.6,0.2,5,8115
91,95.6,0.1,2,8120
92,95.6,0.0,1,8122
93,95.6,0.1,2,8123
94,95.6,0.0,1,8125
95,95.6,0.0,1,8126
96,95.6,0.0,1,8127
97,95.6,0.0,1,8128
98,95.6,0.0,1,8129
99,95.6,0.1,2,8130
