tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,48.9,70.1,1669,0
1,55.4,55.0,1310,1669
2,61.2,44.0,1048,2979
3,67.5,33.9,808,4027
4,72.5,27.1,646,4835
5,76.2,22.9,545,5481
6,78.4,19.9,475,6026
7,80.6,17.6,420,6501
8,82.1,15.6,372,6921
9,84.2,13.4,318,7293
10,84.9,12.5,297,7611
11,86.0,12.4,295,7908
12,86.1,12.4,295,8203
13,86.8,11.3,269,8498
14,87.3,11.0,262,8767
15,88.2,9.9,237,9029
16,88.7,9.8,233,9266
17,88.9,9.6,228,9499
18,89.4,8.8,210,9727
19,89.6,8.8,210,9937
20,90.0,8.4,199,10147
21,90.3,8.3,198,10346
22,91.0,7.6,180,10544
23,91.2,7.6,182,10724
24,91.3,7.5,179,10906
25,91.3,7.4,176,11085
26,92.0,6.1,146,11261
27,92.0,6.3,149,11407
28,92.2,6.1,146,11556
29,92.4,6.1,146,11702
30,92.3,5.9,141,11848
31,92.6,5.7,136,11989
32,92.8,5.8,138,12125
33,93.0,5.5,132,12263
34,93.1,5.6,134,12395
35,93.0,5.4,128,12529
36,93.3,5.2,125,12657
37,93.5,5.0,118,12782
38,93.3,5.3,127,12900
39,93.4,5.1,121,13027
40,93.4,4.8,115,13148
41,93.9,4.9,116,13263
42,93.8,4.7,112,13379
43,94.1,4.6,109,13491
44,93.9,4.6,110,13600
45,93.9,4.9,116,13710
46,93.7,4.9,116,13826
47,94.1,4.7,111,13942
48,94.1,4.4,105,14053
49,94.3,4.2,100,14158
50,94.2,4.2,101,14258
51,94.3,4.4,104,14359
52,94.3,4.3,103,14463
53,94.5,4.2,100,14566
54,94.4,4.5,108,14666
55,94.4,4.5,106,14774
56,94.4,4.5,106,14880
57,94.4,4.0,96,14986
58,94.7,4.1,98,15082
59,94.8,4.2,101,15180
60,94.7,4.2,101,15281
61,94.8,3.9,94,15382
62,95.0,3.6,85,15476
63,95.1,3.5,84,15561
64,95.1,3.7,87,15645
65,95.1,3.6,85,15732
66,95.0,3.8,91,15817
67,95.5,3.2,77,15908
68,95.2,3.2,76,15985
69,95.5,3.2,76,16061
70,95.5,3.3,79,16137
71,95.4,3.2,76,16216
72,95.6,3.1,75,16292
73,95.6,2.8,67,16367
74,95.5,3.1,74,16434
75,95.6,3.0,71,16508
76,95.7,3.1,74,16579
77,95.7,2.9,68,16653
78,95.7,2.9,70,16721
79,95.7,2.9,70,16791
80,96.0,2.5,60,16861
81,96.0,2.7,64,16921
82,95.9,2.7,65,16985
83,96.0,2.9,68,17050
84,95.9,3.0,71,17118
85,96.0,3.0,72,17189
86,95.8,3.1,74,17261
87,96.0,2.9,69,17335
88,96.0,2.7,64,17404
89,96.1,2.9,68,17468
90,96.1,2.9,68,17536
91,96.0,2.6,63,17604
92,96.2,2.7,65,17667
93,96.2,2.5,60,17732
94,96.0,2.9,70,17792
95,96.1,2.9,70,17862
96,96.1,2.6,62,17932
97,96.1,2.6,62,17994
98,96.1,2.8,66,18056
99,96.0,2.7,65,18122
