tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,50.2,67.5,1600,0
1,56.9,51.7,1226,1600
2,62.5,41.9,994,2826
3,67.5,33.8,801,3820
4,72.1,27.1,643,4621
5,76.8,22.3,528,5264
6,79.8,18.2,431,5792
7,81.9,16.3,386,6223
8,83.2,14.9,352,6609
9,85.2,13.0,309,6961
10,86.5,11.4,269,7270
11,87.6,10.9,259,7539
12,88.4,9.9,235,7798
13,89.1,9.0,214,8033
14,89.8,8.2,195,8247
15,90.4,7.8,186,8442
16,91.2,7.6,180,8628
17,91.4,6.5,154,8808
18,92.2,6.8,160,8962
19,92.0,6.5,153,9122
20,92.3,6.3,150,9275
21,92.9,5.8,138,9425
22,92.8,5.9,139,9563
23,93.2,5.7,134,9702
24,93.4,5.3,126,9836
25,93.7,5.0,118,9962
26,94.0,4.7,112,10080
27,94.0,4.8,114,10192
28,94.1,4.9,117,10306
29,94.1,4.8,113,10423
30,94.2,4.6,108,10536
31,94.3,4.6,110,10644
32,94.0,5.0,118,10754
33,94.4,4.1,97,10872
34,94.6,4.6,109,10969
35,94.3,4.6,110,11078
36,94.5,4.2,99,11188
37,94.6,4.1,96,11287
38,94.7,4.3,102,11383
39,94.7,4.4,105,11485
40,94.6,4.3,103,11590
41,94.9,4.1,98,11693
42,94.7,4.1,97,11791
43,94.9,4.1,97,11888
44,95.0,4.2,100,11985
45,95.2,3.8,90,12085
46,94.9,4.1,96,12175
47,95.2,3.8,90,12271
48,95.2,3.7,88,12361
49,95.2,3.6,86,12449
50,95.3,3.6,86,12535
51,95.3,3.7,88,12621
52,95.2,3.7,88,12709
53,95.2,3.9,92,12797
54,95.1,3.7,87,12889
55,95.4,3.6,85,12976
56,95.3,3.7,87,13061
57,95.4,3.7,87,13148
58,95.3,3.7,87,13235
59,95.5,3.2,75,13322
60,95.7,3.2,76,13397
61,95.6,3.5,84,13473
62,95.7,3.3,78,13557
63,95.7,3.0,72,13635
64,95.8,3.0,72,13707
65,95.9,2.9,69,13779
66,95.9,2.7,64,13848
67,96.1,2.6,62,13912
68,96.2,2.7,63,13974
69,96.1,2.9,68,14037
70,96.0,2.7,65,14105
71,96.0,2.9,68,14170
72,96.1,2.7,63,14238
73,96.2,2.5,60,14301
74,96.1,2.7,64,14361
75,96.2,2.7,64,14425
76,96.1,2.7,65,14489
77,96.1,2.9,69,14554
78,96.2,2.8,67,14623
79,96.1,2.9,69,14690
80,96.1,2.8,66,14759
81,96.2,2.7,64,14825
82,96.2,2.7,64,14889
83,96.2,2.7,64,14953
84,96.4,2.6,62,15017
85,96.4,2.4,58,15079
86,96.4,2.5,59,15137
87,96.4,2.5,60,15196
88,96.5,2.4,57,15256
89,96.5,2.3,55,15313
90,96.4,2.5,60,15368
91,96.3,2.6,61,15428
92,96.3,2.6,62,15489
93,96.5,2.6,62,15551
94,96.4,2.4,56,15613
95,96.4,2.5,59,15669
96,96.4,2.4,58,15728
97,96.5,2.4,58,15786
98,96.5,2.4,57,15844
99,96.5,2.5,59,15901
