tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,50.0,82.9,1967,0
1,53.5,76.0,1802,1967
2,55.1,70.4,1669,3769
3,57.8,65.6,1557,5438
4,59.1,62.4,1479,6995
5,61.2,57.8,1371,8474
6,63.3,54.5,1292,9845
7,64.9,51.4,1219,11137
8,66.5,47.3,1121,12356
9,68.3,44.8,1062,13477
10,69.7,42.1,999,14539
11,71.5,38.8,920,15538
12,73.5,35.6,844,16458
13,73.9,35.2,834,17302
14,75.4,32.4,769,18136
15,76.8,30.3,719,18905
16,78.4,28.2,669,19624
17,80.6,25.0,593,20293
18,82.0,23.2,550,20886
19,82.3,21.3,506,21436
20,83.0,20.0,474,21942
21,84.7,18.5,440,22416
22,85.6,17.4,413,22856
23,85.3,16.9,402,23269
24,86.9,16.5,391,23671
25,87.5,15.1,359,24062
26,88.0,14.5,343,24421
27,88.5,14.1,334,24764
28,88.9,13.1,311,25098
29,89.1,13.3,315,25409
30,89.1,13.1,310,25724
31,89.6,12.4,293,26034
32,89.9,11.6,274,26327
33,90.1,11.3,268,26601
34,91.0,10.2,241,26869
35,90.9,10.7,253,27110
36,90.7,11.0,262,27363
37,91.2,10.4,247,27625
38,90.8,10.1,239,27872
39,91.6,10.2,242,28111
40,91.4,9.8,233,28353
41,91.8,10.0,237,28586
42,91.3,9.6,227,28823
43,91.9,9.5,225,29050
44,91.8,9.1,216,29275
45,92.3,9.0,214,29491
46,92.2,9.3,220,29705
47,92.1,9.1,217,29925
48,92.5,9.0,213,30142
49,92.4,8.6,204,30355
50,92.3,8.3,198,30559
51,93.0,7.6,180,30757
52,93.2,7.7,183,30937
53,93.4,8.0,190,31120
54,93.3,7.8,186,31310
55,93.8,7.1,169,31496
56,93.7,7.3,173,31665
57,93.5,7.5,177,31838
58,93.3,7.2,171,32015
59,93.8,7.0,165,32186
60,93.9,7.1,168,32351
61,94.1,6.4,152,32519
62,94.6,6.7,160,32671
63,94.2,6.6,157,32831
64,94.4,6.8,162,32988
65,94.5,6.5,154,33150
66,94.3,6.5,153,33304
67,93.8,6.9,164,33457
68,93.9,6.8,162,33621
69,94.1,6.5,153,33783
70,94.4,6.5,154,33936
71,94.4,6.3,149,34090
72,94.7,6.0,143,34239
73,94.5,6.3,149,34382
74,94.3,6.7,159,34531
75,94.2,6.4,152,34690
76,94.2,6.8,161,34842
77,94.3,6.4,152,35003
78,94.7,6.1,145,35155
79,94.5,6.7,159,35300
80,93.9,6.9,164,35459
81,94.3,6.5,153,35623
82,94.6,6.6,157,35776
83,94.6,6.0,143,35933
84,94.6,6.0,142,36076
85,94.8,5.9,139,36218
86,95.1,5.2,124,36357
87,95.4,5.4,127,36481
88,95.7,5.1,121,36608
89,95.6,4.9,117,36729
90,95.4,5.3,125,36846
91,95.6,4.6,109,36971
92,95.9,4.6,109,37080
93,95.7,4.6,108,37189
94,95.9,4.4,105,37297
95,96.1,4.4,104,37402
96,96.1,4.3,101,37506
97,95.9,4.2,99,37607
98,96.0,4.1,98,37706
99,96.4,3.8,90,37804
