tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,50.1,66.1,1579,0
1,57.2,50.0,1195,1579
2,64.4,37.3,890,2774
3,69.1,30.7,734,3664
4,74.2,24.7,591,4398
5,77.0,21.2,506,4989
6,79.7,18.8,450,5495
7,81.9,16.7,398,5945
8,83.5,14.6,348,6343
9,84.5,13.2,316,6691
10,85.5,12.3,294,7007
11,86.2,12.1,290,7301
12,87.4,10.9,261,7591
13,88.0,9.9,237,7852
14,88.7,9.4,224,8089
15,89.6,8.7,207,8313
16,89.8,8.8,209,8520
17,90.3,8.0,192,8729
18,91.0,7.2,172,8921
19,91.3,6.7,159,9093
20,92.0,6.2,149,9252
21,92.2,6.3,150,9401
22,92.4,6.4,153,9551
23,92.5,6.0,144,9704
24,92.8,6.2,147,9848
25,92.7,5.8,139,9995
26,92.8,6.3,150,10134
27,93.0,5.2,124,10284
28,93.4,4.9,117,10408
29,93.7,4.8,115,10525
30,93.7,4.9,116,10640
31,93.8,4.9,117,10756
32,94.0,4.9,117,10873
33,94.0,4.9,116,10990
34,93.8,5.1,122,11106
35,94.0,4.8,114,11228
36,94.1,4.5,108,11342
37,94.0,4.7,112,11450
38,94.1,4.5,107,11562
39,94.3,4.2,101,11669
40,94.2,4.5,107,11770
41,94.1,4.6,111,11877
42,94.4,4.2,100,11988
43,94.3,4.4,106,12088
44,94.4,4.4,104,12194
45,94.4,4.4,106,12298
46,94.6,4.4,104,12404
47,94.5,3.9,94,12508
48,94.6,4.1,99,12602
49,94.5,4.4,105,12701
50,94.6,4.1,99,12806
51,94.8,4.1,97,12905
52,94.9,3.7,89,13002
53,94.8,3.8,91,13091
54,95.0,3.7,89,13182
55,95.0,3.7,89,13271
56,95.1,3.5,84,13360
57,95.0,3.2,77,13444
58,95.1,3.6,86,13521
59,95.1,3.9,94,13607
60,95.1,3.6,86,13701
61,95.4,3.6,86,13787
62,95.4,3.2,76,13873
63,95.4,3.4,80,13949
64,95.4,3.5,83,14029
65,95.5,3.4,82,14112
66,95.6,3.3,78,14194
67,95.6,3.2,76,14272
68,95.7,3.1,73,14348
69,95.6,3.2,76,14421
70,95.8,3.1,73,14497
71,95.8,2.8,68,14570
72,95.8,3.4,81,14638
73,95.7,3.2,76,14719
74,95.8,3.1,74,14795
75,95.8,3.1,74,14869
76,95.8,3.1,75,14943
77,95.9,3.1,73,15018
78,96.0,2.8,68,15091
79,95.9,3.3,78,15159
80,96.0,2.9,70,15237
81,96.0,3.0,71,15307
82,96.1,2.8,68,15378
83,95.9,2.9,69,15446
84,96.0,2.9,69,15515
85,96.1,2.7,65,15584
86,96.1,2.8,68,15649
87,96.2,2.9,69,15717
88,96.0,3.0,71,15786
89,95.9,3.0,71,15857
90,95.9,3.0,71,15928
91,96.0,3.0,72,15999
92,96.1,2.6,63,16071
93,96.3,2.5,59,16134
94,96.2,2.6,61,16193
95,96.3,2.7,65,16254
96,96.3,2.6,63,16319
97,96.4,2.5,60,16382
98,96.4,2.5,59,16442
99,96.3,2.6,61,16501
