tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,50.0,83.2,1986,0
1,52.1,78.8,1881,1986
2,54.4,73.6,1758,3867
3,56.5,67.7,1617,5625
4,57.6,65.6,1567,7242
5,60.6,60.1,1436,8809
6,63.4,55.0,1314,10245
7,64.2,53.4,1274,11559
8,66.1,50.3,1200,12833
9,67.0,46.6,1112,14033
10,69.0,44.0,1051,15145
11,70.3,41.0,980,16196
12,71.8,38.0,907,17176
13,72.9,37.0,883,18083
14,74.9,33.9,810,18966
15,77.1,30.1,718,19776
16,77.2,30.2,721,20494
17,78.9,28.0,669,21215
18,79.4,26.2,626,21884
19,79.9,25.9,619,22510
20,80.8,24.2,578,23129
21,80.9,24.4,583,23707
22,81.7,23.7,565,24290
23,82.0,22.4,535,24855
24,83.1,21.3,509,25390
25,83.8,20.3,484,25899
26,84.2,20.0,478,26383
27,84.7,18.9,452,26861
28,85.1,18.1,432,27313
29,85.7,17.2,411,27745
30,86.3,17.0,406,28156
31,86.7,16.6,396,28562
32,86.9,16.5,393,28958
33,87.1,15.7,374,29351
34,87.5,14.8,353,29725
35,88.2,14.4,344,30078
36,87.8,14.4,344,30422
37,88.5,13.4,320,30766
38,88.6,13.9,333,31086
39,89.3,13.4,320,31419
40,89.6,12.9,307,31739
41,90.0,11.8,282,32046
42,90.6,11.4,272,32328
43,90.1,11.1,265,32600
44,90.8,11.0,263,32865
45,90.6,11.1,266,33128
46,91.2,10.8,259,33394
47,91.2,10.8,258,33653
48,90.9,10.7,256,33911
49,90.7,11.1,265,34167
50,90.5,10.7,256,34432
51,91.3,10.6,254,34688
52,91.5,10.2,244,34942
53,91.6,9.5,227,35186
54,92.0,9.5,226,35413
55,91.9,9.1,218,35639
56,92.6,8.6,206,35857
57,92.2,9.1,218,36063
58,92.3,9.3,221,36281
59,92.5,9.2,219,36502
60,92.5,8.3,198,36721
61,92.5,8.6,205,36919
62,92.6,9.0,215,37124
63,92.6,8.6,206,37339
64,92.4,8.8,211,37545
65,92.5,8.7,207,37756
66,92.4,9.0,216,37963
67,92.7,8.8,210,38179
68,92.6,8.5,202,38389
69,92.6,8.8,211,38591
70,92.6,8.8,211,38802
71,92.4,8.6,205,39013
72,92.6,8.9,212,39218
73,92.6,8.4,201,39430
74,92.9,8.2,196,39631
75,93.4,7.8,187,39827
76,93.4,7.5,180,40014
77,93.8,7.2,171,40194
78,93.6,7.6,182,40365
79,93.6,8.0,192,40547
80,93.6,7.4,177,40739
81,93.6,7.2,171,40916
82,94.4,6.5,155,41087
83,93.9,7.0,167,41242
84,94.1,7.0,168,41409
85,93.8,7.1,170,41577
86,93.6,7.6,182,41747
87,94.1,6.9,165,41929
88,94.0,6.9,165,42094
89,94.3,6.2,149,42259
90,94.5,6.7,159,42408
91,94.5,6.1,145,42567
92,95.1,5.8,138,42712
93,94.9,5.5,132,42850
94,94.9,5.9,142,42982
95,95.1,5.8,139,43124
96,95.0,5.9,141,43263
97,94.9,5.7,137,43404
98,95.0,5.6,133,43541
99,95.3,5.4,128,43674
