tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,49.9,95.0,2243,0
1,50.7,94.8,2238,2243
2,49.4,95.9,2265,4481
3,50.2,94.1,2221,6746
4,50.9,93.6,2211,8967
5,50.7,94.2,2224,11178
6,50.2,95.3,2249,13402
7,51.3,93.8,2215,15651
8,50.3,95.0,2244,17866
9,51.5,93.1,2197,20110
10,50.9,94.6,2233,22307
11,49.9,94.7,2236,24540
12,51.5,93.2,2200,26776
13,50.1,95.3,2249,28976
14,50.7,93.8,2214,31225
15,50.9,92.9,2193,33439
16,50.6,94.7,2237,35632
17,50.9,94.0,2220,37869
18,51.8,93.2,2200,40089
19,50.7,93.6,2209,42289
20,50.9,93.7,2213,44498
21,51.7,92.8,2192,46711
22,51.4,92.0,2173,48903
23,51.1,93.4,2205,51076
24,50.7,94.6,2234,53281
25,50.1,94.5,2231,55515
26,51.1,94.1,2222,57746
27,50.7,94.6,2233,59968
28,50.5,94.8,2239,62201
29,50.0,94.6,2234,64440
30,50.8,93.4,2206,66674
31,51.5,93.3,2203,68880
32,51.0,93.2,2201,71083
33,51.3,94.3,2226,73284
34,50.8,94.5,2231,75510
35,51.2,94.0,2219,77741
36,50.6,94.6,2234,79960
37,50.5,94.7,2236,82194
38,50.8,94.4,2228,84430
39,50.9,94.7,2236,86658
40,51.5,93.4,2205,88894
41,51.8,93.0,2195,91099
42,50.0,94.6,2233,93294
43,51.2,92.5,2185,95527
44,51.7,92.8,2191,97712
45,51.5,92.7,2188,99903
46,50.9,93.4,2206,102091
47,51.5,92.5,2185,104297
48,51.4,92.9,2193,106482
49,50.3,93.9,2216,108675
50,50.4,94.7,2236,110891
51,50.3,94.9,2240,113127
52,50.4,94.5,2232,115367
53,50.3,94.2,2225,117599
54,50.5,94.2,2223,119824
55,52.1,92.9,2193,122047
56,50.1,94.0,2220,124240
57,50.4,94.7,2237,126460
58,49.7,94.7,2237,128697
59,50.0,96.1,2268,130934
60,49.7,95.5,2255,133202
61,50.7,94.4,2229,135457
62,51.6,93.1,2199,137686
63,50.9,94.1,2222,139885
64,50.2,95.2,2247,142107
65,50.8,94.5,2231,144354
66,51.5,92.6,2187,146585
67,49.8,95.0,2244,148772
68,50.7,94.1,2222,151016
69,50.8,94.5,2231,153238
70,50.0,95.9,2264,155469
71,50.8,94.5,2232,157733
72,50.9,94.1,2222,159965
73,50.9,94.0,2219,162187
74,50.7,93.7,2212,164406
75,50.5,93.6,2209,166618
76,51.3,93.5,2207,168827
77,50.9,93.9,2218,171034
78,50.1,94.2,2225,173252
79,51.1,93.6,2209,175477
80,50.9,93.9,2218,177686
81,52.1,90.9,2145,179904
82,52.5,91.4,2157,182049
83,50.8,93.9,2218,184206
84,50.4,95.0,2243,186424
85,51.1,93.6,2209,188667
86,51.9,92.7,2189,190876
87,52.0,92.0,2171,193065
88,51.3,92.4,2182,195236
89,50.9,93.3,2203,197418
90,50.5,94.7,2235,199621
91,50.9,94.1,2222,201856
92,49.7,95.2,2247,204078
93,51.4,93.4,2204,206325
94,51.7,92.8,2190,208529
95,51.8,92.7,2188,210719
96,50.7,93.6,2210,212907
97,51.5,93.8,2215,215117
98,50.7,94.9,2241,217332
99,51.1,94.0,2220,219573
