tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,49.8,60.4,1432,0
1,59.7,39.2,930,1432
2,67.6,27.6,655,2362
3,72.8,20.5,486,3017
4,76.4,17.1,405,3503
5,79.5,14.1,335,3908
6,82.0,12.3,291,4243
7,83.1,10.2,241,4534
8,84.7,8.7,206,4775
9,85.9,8.0,189,4981
10,87.1,6.7,158,5170
11,87.5,6.2,147,5328
12,88.3,5.5,131,5475
13,88.8,4.8,115,5606
14,89.4,5.1,120,5721
15,89.8,4.5,106,5841
16,90.1,4.2,100,5947
17,90.7,3.9,93,6047
18,90.8,3.8,90,6140
19,91.1,3.4,80,6230
20,91.6,2.7,65,6310
21,91.7,2.9,68,6375
22,91.8,2.7,64,6443
23,92.0,2.7,64,6507
24,92.1,2.4,57,6571
25,92.5,2.4,57,6628
26,92.5,2.4,58,6685
27,92.7,2.3,55,6743
28,92.8,1.9,46,6798
29,92.9,2.2,52,6844
30,93.0,2.1,49,6896
31,93.1,2.1,50,6945
32,93.2,1.9,45,6995
33,93.4,2.0,48,7040
34,93.3,1.5,36,7088
35,93.5,1.6,39,7124
36,93.7,1.4,34,7163
37,93.8,1.2,29,7197
38,93.9,1.1,27,7226
39,93.9,1.1,25,7253
40,94.0,0.9,22,7278
41,94.0,0.9,21,7300
42,94.0,1.0,23,7321
43,94.0,1.0,23,7344
44,94.1,0.7,16,7367
45,94.1,0.6,14,7383
46,94.2,0.5,11,7397
47,94.1,0.5,12,7408
48,94.2,0.5,12,7420
49,94.2,0.6,14,7432
50,94.3,0.4,9,7446
51,94.3,0.5,12,7455
52,94.3,0.4,10,7467
53,94.4,0.5,11,7477
54,94.3,0.6,14,7488
55,94.3,0.6,14,7502
56,94.3,0.7,16,7516
57,94.4,0.8,20,7532
58,94.4,0.8,20,7552
59,94.4,0.9,22,7572
60,94.4,1.0,23,7594
61,94.5,0.8,18,7617
62,94.4,0.8,20,7635
63,94.5,0.8,19,7655
64,94.5,0.8,18,7674
65,94.6,0.7,16,7692
66,94.6,0.6,14,7708
67,94.7,0.7,16,7722
68,94.6,0.8,20,7738
69,94.7,1.0,24,7758
70,94.7,1.0,24,7782
71,94.7,0.9,21,7806
72,94.8,0.7,17,7827
73,94.8,0.8,18,7844
74,94.8,0.9,22,7862
75,94.8,1.0,24,7884
76,94.8,0.7,16,7908
77,94.9,0.8,19,7924
78,94.9,0.8,18,7943
79,94.9,0.7,17,7961
80,95.0,0.7,16,7978
81,95.0,0.6,14,7994
82,95.0,0.4,10,8008
83,95.0,0.4,9,8018
84,95.0,0.5,11,8027
85,95.1,0.3,6,8038
86,95.1,0.3,6,8044
87,95.1,0.2,5,8050
88,95.1,0.2,5,8055
89,95.1,0.2,5,8060
90,95.1,0.2,5,8065
91,95.1,0.3,7,8070
92,95.1,0.3,8,8077
93,95.1,0.4,10,8085
94,95.1,0.4,10,8095
95,95.1,0.4,10,8105
96,95.1,0.4,10,8115
97,95.2,0.4,9,8125
98,95.2,0.5,11,8134
99,95.2,0.6,15,8145
