tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,50.4,58.3,1384,0
1,58.9,40.4,959,1384
2,65.3,30.4,721,2343
3,70.7,23.3,553,3064
4,76.4,16.4,389,3617
5,79.9,13.2,313,4006
6,82.3,10.5,250,4319
7,84.4,8.8,210,4569
8,85.7,7.8,186,4779
9,86.8,7.6,180,4965
10,87.4,6.7,160,5145
11,88.1,5.7,136,5305
12,88.9,6.3,150,5441
13,89.1,5.9,139,5591
14,90.0,5.2,124,5730
15,90.4,4.9,116,5854
16,90.9,4.3,101,5970
17,91.4,3.7,89,6071
18,92.2,2.9,69,6160
19,92.6,2.5,60,6229
20,92.8,2.1,51,6289
21,93.1,2.2,52,6340
22,93.3,1.9,46,6392
23,93.5,1.8,42,6438
24,93.4,2.0,47,6480
25,93.7,1.5,35,6527
26,93.9,1.1,26,6562
27,94.0,1.4,33,6588
28,94.0,1.2,29,6621
29,94.2,1.2,28,6650
30,94.1,1.2,28,6678
31,94.4,1.4,34,6706
32,94.5,1.1,25,6740
33,94.5,0.9,21,6765
34,94.6,1.1,25,6786
35,94.7,0.9,21,6811
36,94.7,0.9,22,6832
37,94.7,1.0,23,6854
38,94.8,0.7,16,6877
39,95.0,0.8,18,6893
40,95.0,0.7,16,6911
41,95.1,0.6,15,6927
42,95.0,0.7,16,6942
43,95.1,0.7,17,6958
44,95.1,0.7,17,6975
45,95.1,0.7,17,6992
46,95.2,0.6,15,7009
47,95.3,0.7,16,7024
48,95.3,0.5,12,7040
49,95.4,0.4,9,7052
50,95.5,0.4,9,7061
51,95.5,0.4,10,7070
52,95.5,0.4,9,7080
53,95.6,0.3,6,7089
54,95.6,0.2,4,7095
55,95.7,0.2,5,7099
56,95.7,0.3,6,7104
57,95.7,0.3,6,7110
58,95.7,0.2,4,7116
59,95.7,0.2,4,7120
60,95.7,0.1,2,7124
61,95.7,0.0,1,7126
62,95.8,0.0,0,7127
