tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,50.1,57.9,1375,0
1,58.9,40.5,962,1375
2,66.5,28.6,680,2337
3,72.1,21.0,499,3017
4,77.0,16.8,398,3516
5,80.8,12.5,297,3914
6,83.3,10.0,238,4211
7,84.7,9.1,215,4449
8,85.9,7.7,182,4664
9,87.3,7.0,167,4846
10,87.8,6.4,152,5013
11,88.3,5.9,141,5165
12,89.1,5.4,129,5306
13,89.9,4.6,110,5435
14,90.3,4.2,99,5545
15,90.8,3.8,90,5644
16,91.2,3.5,83,5734
17,91.3,3.9,92,5817
18,91.6,3.2,77,5909
19,92.0,2.9,68,5986
20,92.4,2.7,64,6054
21,92.5,2.2,53,6118
22,92.6,2.3,54,6171
23,92.9,2.1,51,6225
24,93.0,1.9,44,6276
25,93.4,1.5,35,6320
26,93.5,1.6,37,6355
27,93.6,1.6,39,6392
28,93.7,1.6,38,6431
29,93.7,1.6,37,6469
30,93.8,1.6,37,6506
31,94.0,1.5,35,6543
32,94.1,1.2,29,6578
33,94.3,1.2,29,6607
34,94.3,1.1,27,6636
35,94.5,1.1,26,6663
36,94.5,1.2,28,6689
37,94.6,1.2,28,6717
38,94.6,1.1,26,6745
39,94.6,1.3,32,6771
40,94.7,1.1,27,6803
41,94.9,1.1,26,6830
42,94.7,1.0,24,6856
43,95.0,0.5,13,6880
44,95.0,0.5,12,6893
45,95.0,0.7,16,6905
46,95.1,0.6,15,6921
47,95.1,0.5,12,6936
48,95.2,0.4,9,6948
49,95.1,0.5,12,6957
50,95.2,0.3,8,6969
51,95.2,0.3,7,6977
52,95.2,0.2,5,6984
53,95.2,0.2,4,6989
54,95.2,0.1,3,6993
55,95.3,0.1,3,6996
56,95.3,0.2,4,6999
57,95.3,0.2,4,7003
58,95.3,0.2,5,7007
59,95.3,0.3,6,7012
60,95.3,0.3,6,7018
61,95.3,0.3,7,7024
62,95.3,0.4,10,7031
63,95.2,0.4,9,7041
64,95.3,0.5,12,7050
65,95.3,0.5,13,7062
66,95.3,0.5,11,7075
67,95.3,0.4,10,7086
68,95.3,0.7,16,7096
69,95.3,0.8,18,7112
70,95.3,0.7,17,7130
71,95.3,0.8,19,7147
72,95.4,0.9,21,7166
73,95.3,0.9,22,7187
74,95.3,0.9,22,7209
75,95.4,0.7,17,7231
76,95.4,0.8,20,7248
77,95.5,0.7,17,7268
78,95.4,0.6,14,7285
79,95.5,0.6,14,7299
80,95.6,0.5,11,7313
81,95.5,0.6,14,7324
82,95.5,0.8,18,7338
83,95.5,0.9,22,7356
84,95.6,0.9,22,7378
85,95.7,0.8,20,7400
86,95.6,0.8,20,7420
87,95.6,0.8,20,7440
88,95.8,0.6,15,7460
89,95.8,0.6,15,7475
90,95.9,0.6,15,7490
91,95.8,0.8,18,7505
92,95.9,0.7,16,7523
93,95.9,0.7,17,7539
94,95.9,0.6,14,7556
95,96.0,0.7,16,7570
96,96.0,0.7,17,7586
97,96.0,0.6,15,7603
98,96.0,0.6,14,7618
99,96.1,0.6,14,7632
100,96.1,0.5,12,7646
