tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,49.4,84.0,1996,0
1,52.3,78.2,1858,1996
2,54.5,71.8,1707,3854
3,56.1,68.7,1632,5561
4,57.7,65.8,1565,7193
5,59.1,63.1,1499,8758
6,61.9,56.2,1336,10257
7,63.1,53.0,1259,11593
8,65.6,50.1,1192,12852
9,67.1,46.8,1112,14044
10,68.2,45.1,1071,15156
11,69.8,42.5,1010,16227
12,71.5,39.8,945,17237
13,72.8,37.4,888,18182
14,74.8,34.4,817,19070
15,76.9,31.1,739,19887
16,77.9,29.2,694,20626
17,79.4,27.4,652,21320
18,80.4,25.5,606,21972
19,81.9,23.9,567,22578
20,82.5,22.3,530,23145
21,83.5,20.7,493,23675
22,84.4,19.8,470,24168
23,85.0,18.3,436,24638
24,86.1,16.9,401,25074
25,86.8,15.9,378,25475
26,87.5,15.3,364,25853
27,88.1,14.0,333,26217
28,88.7,13.4,318,26550
29,89.1,12.7,301,26868
30,89.4,12.8,304,27169
31,89.7,12.0,286,27473
32,90.3,11.8,280,27759
33,90.2,11.4,271,28039
34,90.1,11.4,270,28310
35,90.7,10.6,251,28580
36,91.0,10.3,244,28831
37,91.0,10.2,243,29075
38,91.5,9.6,229,29318
39,91.6,9.8,232,29547
40,91.6,10.3,244,29779
41,91.6,9.8,234,30023
42,91.4,10.3,244,30257
43,91.9,9.3,222,30501
44,92.0,9.5,225,30723
45,92.1,9.2,218,30948
46,92.2,8.8,209,31166
47,92.4,8.1,193,31375
48,93.1,8.0,190,31568
49,93.1,8.2,196,31758
50,92.9,8.4,200,31954
51,93.2,8.2,196,32154
52,93.2,7.9,188,32350
53,93.2,7.9,187,32538
54,93.0,7.9,187,32725
55,93.0,8.3,198,32912
56,93.0,8.3,197,33110
57,93.2,7.7,183,33307
58,93.7,8.0,189,33490
59,93.2,7.9,187,33679
60,93.3,7.4,176,33866
61,93.8,7.3,173,34042
62,93.4,7.4,177,34215
63,93.4,7.3,173,34392
64,93.3,7.4,177,34565
65,93.4,7.5,179,34742
66,93.3,7.4,177,34921
67,93.9,7.4,175,35098
68,93.5,6.9,165,35273
69,93.5,7.4,175,35438
70,93.7,7.1,168,35613
71,93.1,7.6,180,35781
72,93.5,7.7,182,35961
73,93.5,7.8,185,36143
74,93.4,7.4,176,36328
75,93.7,7.4,175,36504
76,93.7,7.1,168,36679
77,93.7,6.9,163,36847
78,94.0,7.6,181,37010
79,93.6,7.5,178,37191
80,93.3,7.9,188,37369
81,93.0,7.9,188,37557
82,93.0,8.0,190,37745
83,93.1,7.7,183,37935
84,93.1,7.9,187,38118
85,93.2,7.7,184,38305
86,93.5,7.4,177,38489
87,93.6,7.4,176,38666
88,93.5,7.1,169,38842
89,93.7,6.9,165,39011
90,93.7,7.3,174,39176
91,93.7,7.7,182,39350
92,93.6,7.3,174,39532
93,93.7,7.1,169,39706
94,94.0,7.0,167,39875
95,93.8,6.9,164,40042
96,93.9,6.5,155,40206
97,94.2,6.5,155,40361
98,94.4,6.3,149,40516
99,94.4,6.8,162,40665
100,94.1,7.0,166,40827
