tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,51.2,94.0,2225,0
1,51.5,93.7,2217,2225
2,50.5,94.6,2240,4442
3,50.5,94.8,2243,6682
4,50.8,95.0,2249,8925
5,51.5,92.8,2197,11174
6,51.1,94.0,2224,13371
7,50.8,93.9,2223,15595
8,50.5,94.7,2241,17818
9,50.5,94.1,2228,20059
10,50.7,94.1,2228,22287
11,51.4,93.7,2219,24515
12,50.4,94.7,2242,26734
13,51.2,94.0,2224,28976
14,51.1,93.7,2218,31200
15,50.8,94.8,2243,33418
16,50.9,93.4,2211,35661
17,51.3,93.7,2219,37872
18,50.1,95.2,2254,40091
19,50.6,94.7,2241,42345
20,49.7,95.9,2269,44586
21,49.9,96.0,2272,46855
22,51.0,93.9,2222,49127
23,50.9,94.0,2226,51349
24,50.5,93.9,2222,53575
25,51.3,92.4,2188,55797
26,51.0,93.9,2223,57985
27,51.1,93.5,2212,60208
28,50.9,94.3,2232,62420
29,51.4,93.2,2205,64652
30,50.8,93.6,2216,66857
31,49.5,95.8,2268,69073
32,49.5,95.3,2255,71341
33,50.1,95.1,2250,73596
34,51.5,93.5,2212,75846
35,51.0,94.5,2236,78058
36,50.1,94.6,2238,80294
37,51.2,94.2,2230,82532
38,49.3,95.1,2252,84762
39,50.6,94.8,2243,87014
40,49.8,95.2,2254,89257
41,50.6,94.6,2238,91511
42,50.7,94.2,2230,93749
43,49.8,95.2,2253,95979
44,51.0,94.7,2241,98232
45,50.2,95.3,2256,100473
46,52.4,93.1,2203,102729
47,51.2,94.1,2228,104932
48,51.3,94.3,2232,107160
49,51.2,93.5,2213,109392
50,50.3,95.0,2248,111605
51,51.5,93.7,2218,113853
52,51.0,93.7,2219,116071
53,50.4,94.3,2232,118290
54,49.9,95.4,2258,120522
55,49.8,94.7,2242,122780
56,50.3,95.0,2248,125022
57,50.1,94.9,2246,127270
58,51.8,93.0,2201,129516
59,51.0,92.1,2180,131717
60,50.8,94.3,2231,133897
61,50.7,93.6,2216,136128
62,51.1,93.4,2211,138344
63,51.4,92.9,2200,140555
64,51.8,93.0,2201,142755
65,51.7,92.3,2184,144956
66,51.5,93.8,2221,147140
67,50.8,94.4,2234,149361
68,50.2,94.9,2247,151595
69,50.8,94.0,2225,153842
70,50.9,94.0,2225,156067
71,51.1,93.3,2209,158292
72,51.5,92.8,2196,160501
73,51.3,93.7,2218,162697
74,50.4,94.7,2241,164915
75,49.6,95.8,2267,167156
76,50.2,95.4,2257,169423
77,51.8,93.9,2223,171680
78,51.0,94.1,2227,173903
79,51.3,92.8,2196,176130
80,51.7,92.7,2195,178326
81,50.6,94.6,2239,180521
82,51.3,93.2,2206,182760
83,51.8,93.5,2213,184966
84,50.8,94.6,2238,187179
85,51.1,94.6,2238,189417
86,51.2,94.0,2226,191655
87,50.4,94.9,2246,193881
88,50.8,94.9,2246,196127
89,50.6,94.9,2247,198373
90,50.2,94.5,2237,200620
91,50.2,94.9,2247,202857
92,50.4,94.3,2232,205104
93,51.7,92.6,2192,207336
94,51.0,93.4,2210,209528
95,51.3,93.7,2219,211738
96,50.3,94.8,2244,213957
97,50.0,94.7,2242,216201
98,51.1,94.0,2224,218443
99,51.2,94.0,2224,220667
100,49.6,95.2,2254,222891
