tick, percent_similar, percent_unhappy, num_unhappy, total_moves
0,50.0,95.2,2240,0
1,51.2,93.4,2198,2240
2,50.1,94.4,2223,4438
3,50.4,94.4,2222,6661
4,51.6,93.7,2206,8883
5,51.3,93.0,2189,11089
6,50.9,93.8,2208,13278
7,51.0,93.3,2197,15486
8,51.4,94.0,2212,17683
9,51.0,93.6,2204,19895
10,50.9,93.5,2200,22099
11,50.4,94.7,2230,24299
12,51.6,93.9,2210,26529
13,50.8,94.6,2227,28739
14,50.3,93.8,2207,30966
15,50.9,93.9,2211,33173
16,50.1,95.8,2254,35384
17,49.8,94.5,2224,37638
18,51.0,93.4,2199,39862
19,50.6,94.5,2225,42061
20,51.0,93.8,2209,44286
21,52.5,91.2,2148,46495
22,51.8,92.2,2170,48643
23,50.8,93.5,2202,50813
24,51.1,93.7,2205,53015
25,50.4,95.0,2236,55220
26,50.8,94.0,2212,57456
27,51.5,92.8,2184,59668
28,50.6,94.2,2218,61852
29,50.0,94.6,2227,64070
30,50.6,94.3,2220,66297
31,51.1,94.1,2215,68517
32,51.1,93.6,2204,70732
33,50.5,93.6,2203,72936
34,50.5,94.4,2221,75139
35,50.4,93.7,2206,77360
36,51.0,93.3,2197,79566
37,51.7,93.5,2200,81763
38,51.1,92.8,2185,83963
39,53.1,91.4,2152,86148
40,51.9,93.2,2194,88300
41,49.6,95.2,2240,90494
42,51.9,92.7,2182,92734
43,51.5,93.2,2195,94916
44,50.6,94.4,2222,97111
45,50.8,92.8,2184,99333
46,51.1,93.6,2203,101517
47,50.9,93.4,2198,103720
48,51.0,94.5,2224,105918
49,50.4,94.9,2234,108142
50,51.3,94.1,2214,110376
51,50.5,95.7,2252,112590
52,50.2,95.7,2253,114842
53,50.3,94.9,2234,117095
54,50.1,95.4,2245,119329
55,50.9,94.2,2217,121574
56,50.7,94.2,2217,123791
57,50.8,94.1,2215,126008
58,50.5,94.5,2225,128223
59,50.2,95.0,2237,130448
60,50.6,94.4,2223,132685
61,50.9,94.8,2232,134908
62,49.9,94.6,2226,137140
63,50.6,94.3,2220,139366
64,50.8,94.1,2215,141586
65,52.4,92.1,2169,143801
66,50.7,94.1,2215,145970
67,50.3,94.6,2226,148185
68,50.0,94.9,2233,150411
69,50.5,93.8,2209,152644
70,50.3,94.6,2228,154853
71,51.6,92.9,2188,157081
72,51.4,93.7,2206,159269
73,50.3,94.6,2226,161475
74,50.3,94.9,2233,163701
75,50.3,94.9,2235,165934
76,50.7,94.5,2224,168169
77,50.5,95.2,2241,170393
78,50.3,95.1,2238,172634
79,50.8,94.7,2230,174872
80,50.5,94.2,2218,177102
81,50.1,94.8,2231,179320
82,50.9,94.1,2214,181551
83,51.3,92.8,2184,183765
84,50.9,93.7,2206,185949
85,51.6,92.8,2184,188155
86,52.1,91.3,2149,190339
87,51.0,93.9,2210,192488
88,50.8,94.1,2214,194698
89,50.2,95.1,2238,196912
90,50.6,94.3,2220,199150
91,49.9,94.9,2235,201370
92,51.3,93.2,2194,203605
93,50.6,94.1,2215,205799
94,51.5,93.3,2196,208014
95,50.6,94.2,2217,210210
96,50.2,94.6,2227,212427
97,50.4,94.3,2219,214654
98,50.7,93.9,2211,216873
99,50.0,94.9,2235,219084
100,51.0,94.0,2212,221319
